어휘	구성 단위	품사	전문 분야
군데-군데	어휘	부사	
군데-뛰기	어휘	명사	
군데-손	어휘	명사	
군데리기	어휘	명사	
군데스트루프^솥	구	품사 없음	역사
군도	어휘	명사	
군도	어휘	명사	
군도	어휘	명사	
군도	어휘	명사	군사
군도	어휘	명사	식물
군도	어휘	명사	
군도	어휘	명사	
군도	어휘	명사	문학
군도	어휘	명사	교통
군도	어휘	명사	
군도-국	어휘	명사	정치
군도^수역	구	품사 없음	해양
군도^이론	구	품사 없음	정치
군도경례	어휘	명사	군사
군도목	어휘	명사	
군도바드	어휘	명사	인명
군돈-질	어휘	명사	
군돈질-하다	어휘	동사	
군돌프	어휘	명사	인명
군동-내	어휘	명사	
군동-질	어휘	명사	
군두	어휘	명사	
군두	어휘	명사	
군두	어휘	명사	역사
군두	어휘	명사	
군두-막	어휘	명사	
군두-발	어휘	명사	
군두-새끼	어휘	명사	
군두-쇠	어휘	명사	
군두-철	어휘	명사	
군두구멍	어휘	명사	
군두래	어휘	명사	
군두리	어휘	명사	
군두목	어휘	명사	
군두목	어휘	명사	책명
군두박-질	어휘	명사	
군두배기	어휘	명사	
군두백-질	어휘	명사	
군둑-네	어휘	명사	
군둑거리다	어휘	동사	
군둑군둑	어휘	부사	
군둑군둑하다	어휘	동사	
군둑대다	어휘	동사	
군둔하다	어휘	형용사	
군둔히	어휘	부사	
군둘레	어휘	명사	
군둘리치	어휘	명사	인명
군둣-구멍	어휘	명사	
군둣-구멍	어휘	명사	
군둥-내	어휘	명사	
군뒤	어휘	명사	
군드러-지다	어휘	동사	
군드러-지다	어휘	동사	
군드렁거리다	어휘	동사	
군드렁군드렁	어휘	부사	
군드렁군드렁하다	어휘	동사	
군드렁대다	어휘	동사	
군득거리다	어휘	동사	
군득군득	어휘	부사	
군득군득하다	어휘	동사	
군득대다	어휘	동사	
군들	어휘	명사	
군들거리다	어휘	동사	
군들군들	어휘	부사	
군들군들하다	어휘	동사	
군들대다	어휘	동사	
군등-내	어휘	명사	
군디	어휘	명사	
군디-바개	어휘	명사	
군디-발	어휘	명사	
군디-신	어휘	명사	
군딧-바개	어휘	명사	
군락	어휘	명사	
군락	어휘	명사	식물
군락 지역	구	품사 없음	
군락-대	어휘	명사	식물
군락-도	어휘	명사	식물
군락-지	어휘	명사	
군락^광합성	구	품사 없음	식물
군락^구조	구	품사 없음	식물
군락^분류군	구	품사 없음	생명
군락^분포학	구	품사 없음	식물
군락^생태학	구	품사 없음	식물
군락^집단	구	품사 없음	식물
군락^천이	구	품사 없음	식물
군락^표집	구	품사 없음	수학
군란	어휘	명사	
군략	어휘	명사	군사
군략-가	어휘	명사	
군량	어휘	명사	
군량-고	어휘	명사	
군량-관	어휘	명사	역사
군량-미	어휘	명사	
군량-선	어휘	명사	
군량-전	어휘	명사	
군려	어휘	명사	
군려	어휘	명사	
군려	어휘	명사	
군려	어휘	명사	
군려	어휘	명사	
군력	어휘	명사	
군령	어휘	명사	
군령	어휘	명사	
군령	어휘	명사	
군령	어휘	명사	식물
군령-권	어휘	명사	군사
군령-다짐	어휘	명사	군사
군령-장	어휘	명사	역사
군령-태산	어휘	명사	
군령-판	어휘	명사	역사
군례	어휘	명사	
군례	어휘	명사	
군례	어휘	명사	역사
군례-악	어휘	명사	음악
군로	어휘	명사	
군로신일	어휘	명사	
군록	어휘	명사	
군론	어휘	명사	수학
군론	어휘	명사	화학
군뢰	어휘	명사	역사
군뢰-박대기	어휘	명사	복식
군뢰-복	어휘	명사	복식
군뢰-복다기	어휘	명사	복식
군료	어휘	명사	
군리	어휘	명사	
군리	어휘	명사	
군림	어휘	명사	
군림	어휘	명사	
군림-자	어휘	명사	
군림-하다	어휘	동사	
군림-하다	어휘	동사	
군립	어휘	명사	
군립^공원	구	품사 없음	건설
군마	어휘	명사	
군마	어휘	명사	
군마 현	구	품사 없음	지명
군마-대	어휘	명사	
군마-대왕	어휘	명사	예체능 일반
군막	어휘	명사	
군막^사찰	구	품사 없음	불교
군말-법	어휘	명사	문학
군말-하다	어휘	동사	
군말이 많으면 쓸 말이 적다	속담	품사 없음	
군맥	어휘	명사	
군맹	어휘	명사	
군맹	어휘	명사	
군맹-무상	어휘	명사	
군맹-평상	어휘	명사	
군명	어휘	명사	
군명	어휘	명사	
군명	어휘	명사	
군모	어휘	명사	
군모	어휘	명사	
군모	어휘	명사	
군모	어휘	명사	
군모	어휘	명사	
군모-하다	어휘	동사	
군목	어휘	명사	역사
군목	어휘	명사	군사
군목	어휘	명사	행정
군목-질	어휘	명사	음악
군무	어휘	명사	
군무	어휘	명사	
군무	어휘	명사	무용
군무	어휘	명사	
군무-국	어휘	명사	역사
군무-사	어휘	명사	역사
군무-사성	어휘	명사	역사
군무-아문	어휘	명사	역사
군무-원	어휘	명사	군사
군무-총장	어휘	명사	역사
군무-하다	어휘	동사	
군무^기포	구	품사 없음	역사
군무^도독부	구	품사 없음	역사
군무^이탈	구	품사 없음	군사
군무^회의	구	품사 없음	군사
군무자	어휘	명사	
군문	어휘	명사	
군문	어휘	명사	
군문	어휘	명사	
군문	어휘	명사	
군문	어휘	명사	역사
군문-등록	어휘	명사	책명
군문-효수	어휘	명사	
군문^둔전	구	품사 없음	역사
군물	어휘	명사	예체능 일반
군물	어휘	명사	
군물(이) 돌다	관용구	품사 없음	
군물-사	어휘	명사	역사
군미-국	어휘	명사	역사
군민	어휘	명사	
군민	어휘	명사	
군민	어휘	명사	
군민	어휘	명사	
군민	어휘	명사	
군민 대회	구	품사 없음	
군민-공치	어휘	명사	정치
군민-동조	어휘	명사	
군민-동치	어휘	명사	정치
군민^봉기	구	품사 없음	정치
군민^협약^헌법	구	품사 없음	법률
군민^회관	구	품사 없음	사회 일반
군민력	어휘	명사	
군박	어휘	품사 없음	
군박-하다	어휘	형용사	
군박-하다	어휘	형용사	
군박-하다	어휘	형용사	
군박-히	어휘	부사	
군박-히	어휘	부사	
군박-히	어휘	부사	
군반	어휘	명사	역사
군반-씨족	어휘	명사	역사
군발-지진	어휘	명사	지구
군발^두통	구	품사 없음	의학
군발외위충군	어휘	명사	역사
군밤 둥우리 같다	속담	품사 없음	
군밤 장수	구	품사 없음	
군밤^타령	구	품사 없음	음악
군밤에서 싹 나거든	속담	품사 없음	
군밤에서 싹 나거든	속담	품사 없음	
군방	어휘	명사	
군방	어휘	명사	
군방	어휘	명사	
군배	어휘	명사	
군버릇	어휘	명사	
군버릇	어휘	명사	
군번	어휘	명사	군사
군번	어휘	명사	
군번-줄	어휘	명사	군사
군번-표	어휘	명사	군사
군벌	어휘	명사	
군벌	어휘	명사	
군벌	어휘	명사	역사
군벌-주의	어휘	명사	군사
군벌-화	어휘	명사	
군벌^정치	구	품사 없음	정치
군범-집책	어휘	명사	책명
군법	어휘	명사	군사
군법-국	어휘	명사	역사
군법^회의	구	품사 없음	군사
군벗	어휘	명사	
군벵이	어휘	명사	
군변	어휘	명사	
군별	어휘	명사	
군별	어휘	명사	
군별	어휘	명사	
군별^사선^방식	구	품사 없음	정보·통신
군병	어휘	명사	
군보	어휘	명사	역사
군보	어휘	명사	역사
군보	어휘	명사	
군보-포	어휘	명사	역사
군복	어휘	명사	
군복(을) 벗다	관용구	품사 없음	
군복-판	어휘	명사	
군복-패영	어휘	명사	
군복을 입다	관용구	품사 없음	
군봉	어휘	명사	
군봉	어휘	명사	
군봉	어휘	명사	
군봉^제국주의	구	품사 없음	정치
군부	어휘	명사	동물
군부	어휘	명사	
군부	어휘	명사	
군부	어휘	명사	
군부	어휘	명사	
군부	어휘	명사	
군부	어휘	명사	
군부	어휘	명사	군사
군부	어휘	명사	군사
군부	어휘	명사	군사
군부	어휘	명사	역사
군부	어휘	명사	역사
군부	어휘	명사	
군부	어휘	명사	역사
군부-대신	어휘	명사	역사
군부-사	어휘	명사	역사
군부-판사	어휘	명사	역사
군부-판서	어휘	명사	역사
군부^독재	구	품사 없음	정치
군부^협판	구	품사 없음	역사
군부^후견주의	구	품사 없음	정치
군부일체	어휘	명사	
군북^광산	구	품사 없음	광업
군불 장댄가[장대처럼] 키만 크다	속담	품사 없음	
군불(을) 때다	관용구	품사 없음	
군불(을) 때다	관용구	품사 없음	
군불-솥	어휘	명사	
군불-아궁이	어휘	명사	
군불-아궁지	어휘	명사	
군불다	어휘	동사	
군불에 밥 짓기[익히기]	속담	품사 없음	
군붓-질	어휘	명사	
군비	어휘	명사	
군비	어휘	명사	
군비	어휘	명사	
군비	어휘	명사	
군비	어휘	명사	
군비-단	어휘	명사	역사
군비-하다	어휘	동사	
군비^경쟁	구	품사 없음	정치
군비^경쟁^예방	구	품사 없음	사회 일반
군비^관리	구	품사 없음	정치
군비^규제^교섭	구	품사 없음	정치
군비^배상금	구	품사 없음	정치
군비^삭감	구	품사 없음	정치
군비^전폐론	구	품사 없음	군사
군비^제한	구	품사 없음	정치
군비^증강	구	품사 없음	정치
군비^축소	구	품사 없음	군사
군비^축소^위원회	구	품사 없음	군사
군비^축소^회의	구	품사 없음	역사
군비^통제	구	품사 없음	군사
군비^확대	구	품사 없음	정치
군비^확장	구	품사 없음	군사
군빗질	어휘	명사	
군빗질-하다	어휘	동사	
군빗질하다	어휘	동사	
군사	어휘	명사	
군사	어휘	명사	군사
군사	어휘	명사	
군사	어휘	명사	군사
군사	어휘	명사	
군사	어휘	명사	군사
군사	어휘	명사	역사
군사	어휘	명사	
군사	어휘	명사	
군사	어휘	명사	역사
군사	어휘	명사	
군사	어휘	명사	역사
군사-감	어휘	명사	군사
군사-감	어휘	명사	역사
군사-계엄	어휘	명사	군사
군사-권	어휘	명사	군사
군사-놀이	어휘	명사	
군사-당	어휘	명사	역사
군사-력	어휘	명사	
군사-망	어휘	명사	군사
군사-무력	어휘	명사	
군사-물	어휘	명사	
군사-범	어휘	명사	군사
군사-법	어휘	명사	군사
군사-비	어휘	명사	
군사-사상	어휘	명사	
군사-용	어휘	명사	
군사-장	어휘	명사	역사
군사-적	어휘	관형사·명사	
군사-주의	어휘	명사	
군사-지	어휘	명사	군사
군사-통	어휘	명사	
군사-학	어휘	명사	군사
군사-학	어휘	명사	군사
군사-항	어휘	명사	군사
군사-화	어휘	명사	
군사^간부	구	품사 없음	군사
군사^간섭	구	품사 없음	정치
군사^감시단	구	품사 없음	정치
군사^강제^조치	구	품사 없음	정치
군사^개입	구	품사 없음	정치
군사^격자^좌표^체계	구	품사 없음	군사
군사^경계선	구	품사 없음	군사
군사^경제	구	품사 없음	경제
군사^경찰	구	품사 없음	군사
군사^경찰	구	품사 없음	군사
군사^고문	구	품사 없음	군사
군사^고문단	구	품사 없음	군사
군사^공채	구	품사 없음	경제
군사^공학	구	품사 없음	군사
군사^과학	구	품사 없음	군사
군사^교관	구	품사 없음	군사
군사^교두보	구	품사 없음	군사
군사^교두보	구	품사 없음	군사
군사^교련	구	품사 없음	군사
군사^교리	구	품사 없음	군사
군사^교범	구	품사 없음	군사
군사^교육	구	품사 없음	군사
군사^교육	구	품사 없음	군사
군사^교육	구	품사 없음	군사
군사^교육^기관	구	품사 없음	군사
군사^구조	구	품사 없음	정치
군사^규약	구	품사 없음	군사
군사^규정	구	품사 없음	군사
군사^급사	구	품사 없음	역사
군사^기만	구	품사 없음	군사
군사^기밀	구	품사 없음	군사
군사^기밀^공개	구	품사 없음	군사
군사^기밀^보호법	구	품사 없음	군사
군사^기밀^제공^설명	구	품사 없음	군사
군사^기밀급	구	품사 없음	군사
군사^기본^교리	구	품사 없음	군사
군사^기상학	구	품사 없음	지구
군사^기술	구	품사 없음	군사
군사^기술^혁신	구	품사 없음	군사
군사^기지	구	품사 없음	군사
군사^기지^오염	구	품사 없음	환경
군사^기지^협정	구	품사 없음	정치
군사^기지화	구	품사 없음	군사
군사^기획	구	품사 없음	군사
