어휘	구성 단위	품사	전문 분야
보들-나무	어휘	명사	
보들-보들	어휘	부사	
보들라기	어휘	명사	
보들락	어휘	명사	
보들래기	어휘	명사	
보들레르	어휘	명사	인명
보들레르	어휘	명사	무용
보들보들-하다	어휘	형용사	
보들직-허다	어휘	형용사	
보들하다	어휘	형용사	
보듬	어휘	조사	
보듬	어휘	명사	
보듬-기다	어휘	동사	
보듬-키다	어휘	동사	
보듬-허다	어휘	형용사	
보듬다	어휘	동사	
보등	어휘	명사	불교
보등-보등	어휘	부사	
보디	어휘	명사	체육
보디	어휘	명사	기계
보디	어휘	명사	
보디 샴푸	구	품사 없음	
보디 스캐닝	구	품사 없음	
보디 오일	구	품사 없음	
보디 워시	구	품사 없음	
보디 크림	구	품사 없음	
보디 클렌저	구	품사 없음	
보디-감	어휘	명사	
보디-랭귀지	어휘	명사	언어
보디-로션	어휘	명사	
보디-마사지	어휘	명사	
보디-세러피	어휘	명사	
보디-용	어휘	명사	
보디-용품	어휘	명사	
보디-집	어휘	명사	
보디-클렌징	어휘	명사	
보디-테라피	어휘	명사	
보디^니스	구	품사 없음	화학
보디^디자이너	구	품사 없음	체육
보디^랜드^클리어런스	구	품사 없음	기계
보디^메이크업	구	품사 없음	복식
보디^바니시	구	품사 없음	화학
보디^베어링	구	품사 없음	복식
보디^벤드^핸드스프링	구	품사 없음	체육
보디^부츠	구	품사 없음	복식
보디^브리퍼	구	품사 없음	복식
보디^브리퍼^테디	구	품사 없음	복식
보디^블라우스	구	품사 없음	복식
보디^블로	구	품사 없음	체육
보디^샷	구	품사 없음	체육
보디^세그먼트	구	품사 없음	의학
보디^세이퍼^팬티^호즈	구	품사 없음	복식
보디^셔츠	구	품사 없음	복식
보디^셔츠	구	품사 없음	복식
보디^셰이퍼스	구	품사 없음	복식
보디^쇼츠	구	품사 없음	복식
보디^수트	구	품사 없음	복식
보디^수트	구	품사 없음	복식
보디^스윙	구	품사 없음	체육
보디^스크럽	구	품사 없음	복식
보디^스타킹	구	품사 없음	복식
보디^스탠드	구	품사 없음	복식
보디^스테빌리티^스킬	구	품사 없음	체육
보디^스트라이프	구	품사 없음	복식
보디^스프레드	구	품사 없음	체육
보디^슬램	구	품사 없음	체육
보디^시져스^불도그	구	품사 없음	체육
보디^아트	구	품사 없음	미술
보디^앤드^소울	구	품사 없음	음악
보디^어택	구	품사 없음	체육
보디^오버	구	품사 없음	체육
보디^와이어	구	품사 없음	체육
보디^웨어	구	품사 없음	복식
보디^웨이트^스쾃	구	품사 없음	체육
보디^웨이트^스쿼트	구	품사 없음	체육
보디^웨이트^월^스쾃	구	품사 없음	체육
보디^웨이트^월^스쿼트	구	품사 없음	체육
보디^위킹^룩	구	품사 없음	복식
보디^체인	구	품사 없음	공예
보디^체크	구	품사 없음	체육
보디^컨셔스	구	품사 없음	복식
보디^컬러	구	품사 없음	미술
보디^콘셔스^룩	구	품사 없음	복식
보디^클로드즈	구	품사 없음	복식
보디^클로딩	구	품사 없음	복식
보디^클로스	구	품사 없음	복식
보디^토크^패션	구	품사 없음	복식
보디^트렌스포트^스킬	구	품사 없음	체육
보디^파마	구	품사 없음	복식
보디^팩	구	품사 없음	음악
보디^페인팅	구	품사 없음	미술
보디^포지션	구	품사 없음	체육
보디^폴딩	구	품사 없음	체육
보디^프레스	구	품사 없음	체육
보디^프로텍터	구	품사 없음	체육
보디^플라워	구	품사 없음	복식
보디가드	어휘	명사	
보디가드^룩	구	품사 없음	복식
보디게	어휘	부사	
보디기	어휘	명사	
보디드^레더	구	품사 없음	복식
보디라인	어휘	명사	
보디빌더	어휘	명사	체육
보디빌딩	어휘	명사	체육
보디스	어휘	명사	
보디안^염색	구	품사 없음	의학
보디워크	어휘	명사	체육
보디집-비녀	어휘	명사	
보디피드^여과	구	품사 없음	화학
보딩	어휘	명사	체육
보딩	어휘	명사	건설
보딩	어휘	명사	건설
보딩^브리지	구	품사 없음	교통
보딩까다	어휘	동사	
보딩끼다	어휘	동사	
보따리 갖다 놓은 집이 주인이다	속담	품사 없음	
보따리 무역	구	품사 없음	
보따리 장사	구	품사 없음	
보따리(를) 싸다	관용구	품사 없음	
보따리(를) 풀다	관용구	품사 없음	
보따리(를) 풀다	관용구	품사 없음	
보따리-당시	어휘	명사	
보따리-맺임	어휘	명사	
보따리-상	어휘	명사	
보따리-상권	어휘	명사	경제
보따리-장수	어휘	명사	
보땅	어휘	명사	
보때기	어휘	명사	
보땡이	어휘	명사	
보뗑이	어휘	명사	
보똑	어휘	부사	
보뚝	어휘	명사	
보라	어휘	명사	
보라	어휘	명사	
보라	어휘	명사	미술
보라	어휘	명사	
보라	어휘	명사	
보라	어휘	명사	지구
보라-매	어휘	명사	동물
보라-머리동이	어휘	명사	
보라-색	어휘	명사	
보라-섬게	어휘	명사	동물
보라-성게	어휘	명사	동물
보라-인	어휘	명사	화학
보라-자루맵시벌	어휘	명사	동물
보라-장기	어휘	명사	
보라-초	어휘	명사	
보라-치마	어휘	명사	
보라-탈	어휘	명사	민속
보라-탈	어휘	명사	
보라-털	어휘	명사	생명
보라-해면	어휘	명사	동물
보라^색맹	구	품사 없음	의학
보라가지	어휘	명사	
보라갓버섯	어휘	명사	식물
보라다	어휘	동사	
보라대합	어휘	명사	동물
보라리다	어휘	동사	
보라밤빛	어휘	명사	
보라밤색	어휘	명사	
보라비늘바다지렁이	어휘	명사	동물
보라빛	어휘	명사	
보라빛깔때기버섯	어휘	명사	식물
보라빛면두버섯	어휘	명사	식물
보라빛무리버섯	어휘	명사	식물
보라빛차즈기	어휘	명사	식물
보라색^잡음	구	품사 없음	예체능 일반
보라섭	어휘	명사	동물
보라수정	어휘	명사	광업
보라인^매듭	구	품사 없음	체육
보라존	어휘	명사	화학
보라졸	어휘	명사	화학
보라지	어휘	명사	
보라지	어휘	명사	
보라지	어휘	명사	
보라지-볼	어휘	명사	
보라콩	어휘	명사	식물
보라콩바구미	어휘	명사	동물
보라콩솜털벌레	어휘	명사	동물
보란	어휘	명사	건설
보란	어휘	명사	화학
보란	어휘	명사	음악
보란 듯이	관용구	품사 없음	
보란-좌	어휘	명사	건설
보랄	어휘	명사	물리
보람	어휘	명사	
보람	어휘	명사	
보람	어휘	명사	
보람	어휘	명사	
보람-되다	어휘	형용사	
보람-상	어휘	명사	
보람-유	어휘	명사	공예
보람-줄	어휘	명사	
보람-차다	어휘	형용사	
보람-판	어휘	명사	
보람-하다	어휘	동사	
보람-?	어휘	명사	
보랏-빛	어휘	명사	
보랏-지다	어휘	형용사	
보랏다	어휘	동사	
보랏빛우단-병	어휘	명사	임업
보랑	어휘	명사	
보랑	어휘	명사	
보랗다	어휘	형용사	
보래	어휘	명사	기계
보래	어휘	명사	
보래	어휘	명사	
보래	어휘	감탄사	
보래-깜부기	어휘	명사	
보래-매	어휘	명사	
보래-색	어휘	명사	
보래-장기	어휘	명사	
보래기	어휘	명사	
보랫-매	어휘	명사	
보랫-빛	어휘	명사	
보랭	어휘	명사	
보랭 가방	구	품사 없음	
보랭 물병	구	품사 없음	
보랭 백	구	품사 없음	
보랭 차	구	품사 없음	
보랭 컵	구	품사 없음	
보랭-력	어휘	명사	
보랭-병	어휘	명사	
보랭-성	어휘	명사	
보랭-용	어휘	명사	
보랭-재	어휘	명사	건설
보랭-제	어휘	명사	
보랭-판	어휘	명사	건설
보랭-하다	어휘	동사	
보랭^공사	구	품사 없음	건설
보랭^구조	구	품사 없음	건설
보랭^통	구	품사 없음	건설
보러	어휘	부사	
보런	어휘	명사	
보럼	어휘	명사	
보렁-대구	어휘	명사	동물
보레고	어휘	명사	인명
보레아스	어휘	명사	문학
보레인	어휘	명사	화학
보렐	어휘	명사	인명
보렐	어휘	명사	인명
보렐^가측^함수	구	품사 없음	수학
보렐^대수	구	품사 없음	수학
보렐^시그마^대수	구	품사 없음	수학
보렐^집합	구	품사 없음	수학
보렐^집합체	구	품사 없음	수학
보렐^측도	구	품사 없음	수학
보렐ㆍ카라테오도리^정리	구	품사 없음	수학
