어휘	구성 단위	품사	전문 분야
소귀-나물	어휘	명사	식물
소귀나무-목	어휘	명사	식물
소귀나뭇-과	어휘	명사	식물
소귀신보다 질기다	속담	품사 없음	
소규모-적	어휘	관형사·명사	
소규모-화	어휘	명사	
소규모^경제	구	품사 없음	경제
소규모^기업^효과	구	품사 없음	경제
소규모^매립^처분	구	품사 없음	환경
소규모^영농	구	품사 없음	농업
소규모^일반^물자	구	품사 없음	군사
소규모^저강도^산림^경영	구	품사 없음	임업
소규모^주식^교환	구	품사 없음	경제
소규모^직접^회로	구	품사 없음	전기·전자
소규모^집적^소자	구	품사 없음	전기·전자
소규모^집적^회로	구	품사 없음	정보·통신
소규모^하수도	구	품사 없음	환경
소규모^합병	구	품사 없음	경제
소규모^환경^영향^평가	구	품사 없음	환경
소규모화-되다	어휘	동사	
소규모화-하다	어휘	동사	
소균-구	어휘	명사	생명
소그드^문자	구	품사 없음	언어
소그드^인	구	품사 없음	고유명 일반
소그디아나	어휘	명사	지명
소그랑장난	어휘	명사	
소그레-탕	어휘	명사	
소극	어휘	명사	
소극	어휘	명사	
소극	어휘	명사	
소극	어휘	명사	물리
소극	어휘	명사	연기
소극	어휘	명사	연기
소극	어휘	명사	물리
소극-설	어휘	명사	법률
소극-성	어휘	명사	
소극-장	어휘	명사	물리
소극-적	어휘	관형사·명사	
소극-제	어휘	명사	물리
소극-주의	어휘	명사	
소극-주의	어휘	명사	철학
소극-주의	어휘	명사	철학
소극-책	어휘	명사	
소극-침주	어휘	명사	
소극^개념	구	품사 없음	철학
소극^대리	구	품사 없음	법률
소극^명사	구	품사 없음	철학
소극^명제	구	품사 없음	철학
소극^방공	구	품사 없음	군사
소극^방어	구	품사 없음	군사
소극^신탁	구	품사 없음	법률
소극^영화	구	품사 없음	영상
소극^의무	구	품사 없음	법률
소극^재산	구	품사 없음	경제
소극^재산	구	품사 없음	법률
소극^조건	구	품사 없음	법률
소극^지역	구	품사 없음	법률
소극^철학	구	품사 없음	철학
소극^판단	구	품사 없음	철학
소극^행위	구	품사 없음	법률
소극범	어휘	명사	법률
소극분자	어휘	명사	
소극성^속모증	구	품사 없음	의학
소극장^운동	구	품사 없음	연기
소극적^개념	구	품사 없음	철학
소극적^결사의^자유	구	품사 없음	법률
소극적^계약^이익	구	품사 없음	법률
소극적^공동^소송	구	품사 없음	법률
소극적^공손성	구	품사 없음	언어
소극적^공중^방어	구	품사 없음	군사
소극적^구성^요건^표지^이론	구	품사 없음	법률
소극적^권리^범위^확인^심판	구	품사 없음	법률
소극적^권한^쟁의	구	품사 없음	법률
소극적^급부	구	품사 없음	법률
소극적^노동력^정책	구	품사 없음	경제
소극적^명제	구	품사 없음	철학
소극적^방어	구	품사 없음	군사
소극적^방어권	구	품사 없음	법률
소극적^보유	구	품사 없음	경제
소극적^불신	구	품사 없음	가톨릭
소극적^석명	구	품사 없음	법률
소극적^소송^요건	구	품사 없음	법률
소극적^속인주의	구	품사 없음	법률
소극적^손해	구	품사 없음	법률
소극적^시민	구	품사 없음	사회 일반
소극적^신분	구	품사 없음	법률
소극적^안락사	구	품사 없음	법률
소극적^유럽^인	구	품사 없음	정치
소극적^이익	구	품사 없음	법률
소극적^이행	구	품사 없음	법률
소극적^일반^예방	구	품사 없음	법률
소극적^자유	구	품사 없음	정치
소극적^쟁의	구	품사 없음	법률
소극적^저항	구	품사 없음	사회 일반
소극적^적립금	구	품사 없음	경제
소극적^전이	구	품사 없음	교육
소극적^정보^수령의^자유	구	품사 없음	법률
소극적^지역권	구	품사 없음	법률
소극적^채권^운용^전략	구	품사 없음	경제
소극적^채권^투자^전략	구	품사 없음	경제
소극적^체면	구	품사 없음	언어
소극적^체면^위협^행위	구	품사 없음	언어
소극적^통합	구	품사 없음	경제
소극적^투자^관리	구	품사 없음	경제
소극적^투자^전략	구	품사 없음	경제
소극적^판단	구	품사 없음	철학
소극적^포트폴리오^관리	구	품사 없음	경제
소극적^행동	구	품사 없음	사회 일반
소극적^행위론	구	품사 없음	법률
소극적^행정^행위	구	품사 없음	법률
소극적^확인의^소	구	품사 없음	법률
소극적^흡수	구	품사 없음	식물
소극적어휘	어휘	명사	언어
소극적인^방어^행위	구	품사 없음	법률
소극적장애	어휘	명사	
소극적전파탐지	어휘	명사	
소극주의-자	어휘	명사	
소근	어휘	명사	의학
소근-거리다	어휘	동사	
소근-소근	어휘	부사	
소근^운동^기능	구	품사 없음	체육
소근^운동^기술	구	품사 없음	체육
소근닥-거리다	어휘	동사	
소근육^운동^발달	구	품사 없음	체육
소금	어휘	명사	
소금	어휘	명사	기독교
소금	어휘	명사	음악
소금	어휘	명사	예체능 일반
소금	어휘	명사	음악
소금	어휘	명사	음악
소금	어휘	명사	
소금	어휘	명사	
소금	어휘	명사	
소금	어휘	명사	미술
소금 간	구	품사 없음	
소금 들고 덤비다	관용구	품사 없음	
소금 먹던 게 장을 먹으면 조갈병에 죽는다	속담	품사 없음	
소금 먹은 놈이 물켠다	속담	품사 없음	
소금 먹은 소 굴우물 들여다보듯	속담	품사 없음	
소금 먹은 소가 물을 켜지	속담	품사 없음	
소금 먹은 쥐 물로 간다	속담	품사 없음	
소금 먹은 푸성귀	속담	품사 없음	
소금 바람	구	품사 없음	
소금 배	구	품사 없음	
소금 섬 지고 물로 가겠다	속담	품사 없음	
소금 섬을 물로 끌라고 해도 끈다	속담	품사 없음	
소금 실은 배만 하다	속담	품사 없음	
소금 타러[팔러] 가면 비가 오고 가루 팔러 가면 바람 분다	속담	품사 없음	
소금 통	구	품사 없음	
소금-가마	어휘	명사	
소금-구이	어휘	명사	
소금-구이	어휘	명사	
소금-국	어휘	명사	
소금-국	어휘	명사	
소금-기	어휘	명사	
소금-기름	어휘	명사	
소금-깍두기	어휘	명사	
소금-꽃	어휘	명사	
소금-꽃	어휘	명사	
소금-당세	어휘	명사	
소금-당수	어휘	명사	
소금-대통	어휘	명사	
소금-덩어리	어휘	명사	
소금-뜸	어휘	명사	한의
소금-막	어휘	명사	
소금-물	어휘	명사	
소금-물	어휘	명사	
소금-물	어휘	명사	
소금-발	어휘	명사	
