어휘	구성 단위	품사	전문 분야
경련^발작	구	품사 없음	의학
경련^수축	구	품사 없음	의학
경련^수축^걸음	구	품사 없음	체육
경련^수축^보행	구	품사 없음	체육
경련^수축^억제	구	품사 없음	의학
경련^수축성	구	품사 없음	의학
경련^예방제	구	품사 없음	약학
경련^웃음	구	품사 없음	의학
경련^재채기	구	품사 없음	의학
경련^진통	구	품사 없음	의학
경련^창자막힘	구	품사 없음	의학
경련^통증	구	품사 없음	의학
경련^틱	구	품사 없음	의학
경련^호흡	구	품사 없음	의학
경련성^마비	구	품사 없음	의학
경련성^발어	구	품사 없음	의학
경련성^배뇨^장애	구	품사 없음	의학
경련성^변비	구	품사 없음	의학
경련성^보행	구	품사 없음	체육
경련성^빈혈	구	품사 없음	의학
경련성^사시	구	품사 없음	의학
경련성^산통	구	품사 없음	수의
경련성^안구^운동	구	품사 없음	생명
경련성^양측^마비	구	품사 없음	의학
경련성^음성^장애	구	품사 없음	의학
경련성^일레우스	구	품사 없음	의학
경련성^장폐색	구	품사 없음	의학
경련성^증상군	구	품사 없음	의학
경련성^천식	구	품사 없음	의학
경련성^틱	구	품사 없음	의학
경렬	어휘	명사	
경렵	어휘	명사	
경렵-하다	어휘	동사	
경령	어휘	명사	식물
경령^갈라진^형	구	품사 없음	식물
경령^넓은^형	구	품사 없음	식물
경령^좁은^형	구	품사 없음	식물
경례	어휘	명사	
경례	어휘	감탄사	군사
경례-하다	어휘	동사	
경로	어휘	명사	
경로	어휘	명사	
경로	어휘	명사	
경로	어휘	명사	
경로	어휘	명사	
경로	어휘	명사	경영
경로	어휘	명사	수학
경로	어휘	명사	물리
경로 도우미	구	품사 없음	
경로 효친	구	품사 없음	
경로-계수	어휘	명사	수학
경로-당	어휘	명사	
경로-례	어휘	명사	역사
경로-명	어휘	명사	정보·통신
경로-명	어휘	명사	정보·통신
경로-사상	어휘	명사	
경로-석	어휘	명사	
경로-식	어휘	명사	정보·통신
경로-역	어휘	명사	언어
경로-잔치	어휘	명사	
경로-점	어휘	명사	정보·통신
경로-표	어휘	명사	정보·통신
경로-하다	어휘	동사	
경로-회	어휘	명사	
경로^갈등	구	품사 없음	경영
경로^계산^요소	구	품사 없음	정보·통신
경로^계수	구	품사 없음	수학
경로^계획	구	품사 없음	교통
경로^관리^정보	구	품사 없음	정보·통신
경로^길이	구	품사 없음	정보·통신
경로^길이^렌즈	구	품사 없음	정보·통신
경로^길이^차	구	품사 없음	정보·통신
경로^다이버시티	구	품사 없음	정보·통신
경로^목표^이론	구	품사 없음	경영
경로^무한^루프	구	품사 없음	정보·통신
경로^배정^기법	구	품사 없음	정보·통신
경로^변경	구	품사 없음	정보·통신
경로^보유	구	품사 없음	정보·통신
경로^부호^방식	구	품사 없음	정보·통신
경로^분석	구	품사 없음	경영
경로^분석	구	품사 없음	정보·통신
경로^서버	구	품사 없음	정보·통신
경로^선정^계획	구	품사 없음	정보·통신
경로^선택	구	품사 없음	정보·통신
경로^선택^방식	구	품사 없음	정보·통신
경로^선택^전략	구	품사 없음	정보·통신
경로^선택^제어	구	품사 없음	정보·통신
경로^설정^중단	구	품사 없음	정보·통신
경로^쇄정	구	품사 없음	교통
경로^스위치	구	품사 없음	정보·통신
경로^식당	구	품사 없음	복지
경로^식별^부호	구	품사 없음	군사
경로^연금	구	품사 없음	사회 일반
경로^예비^방식	구	품사 없음	정보·통신
경로^우대	구	품사 없음	사회 일반
경로^우대^공제	구	품사 없음	행정
경로^우대^제도	구	품사 없음	법률
경로^우대권	구	품사 없음	복지
경로^우대석	구	품사 없음	사회 일반
경로^우대제	구	품사 없음	복지
경로^우대증	구	품사 없음	복지
경로^우대증^제도	구	품사 없음	복지
경로^운행	구	품사 없음	정보·통신
경로^유도^시스템	구	품사 없음	교통
경로^유지	구	품사 없음	정보·통신
경로^의존	구	품사 없음	역사
경로^의존^옵션	구	품사 없음	경제
경로^의존성	구	품사 없음	심리
경로^이격	구	품사 없음	정보·통신
경로^이름	구	품사 없음	정보·통신
경로^이름	구	품사 없음	정보·통신
경로^재설정	구	품사 없음	정보·통신
경로^적분	구	품사 없음	수학
경로^적분	구	품사 없음	물리
경로^적분법	구	품사 없음	수학
경로^접속용^모듈	구	품사 없음	정보·통신
경로^정의	구	품사 없음	정보·통신
경로^제어^계층	구	품사 없음	정보·통신
