어휘	구성 단위	품사	전문 분야
정-한시	어휘	명사	전기·전자
정-함수	어휘	명사	수학
정-항령	어휘	명사	인명
정-해창	어휘	명사	인명
정-현	어휘	명사	인명
정-형수	어휘	명사	임업
정-호	어휘	명사	인명
정-호	어휘	명사	인명
정-홍래	어휘	명사	인명
정-홍순	어휘	명사	인명
정-홍진	어휘	명사	인명
정-화	어휘	명사	인명
정-환공	어휘	명사	인명
정-환직	어휘	명사	인명
정-활차	어휘	명사	물리
정-회원	어휘	명사	
정-회전력	어휘	명사	전기·전자
정-효서	어휘	명사	인명
정-효항	어휘	명사	인명
정-훈	어휘	명사	인명
정-휴양	어휘	명사	
정-흡착	어휘	명사	화학
정-희등	어휘	명사	인명
정-히	어휘	부사	
정-히	어휘	부사	
정-히	어휘	부사	
정-히	어휘	부사	
정-히	어휘	부사	
정^마케팅	구	품사 없음	경영
정가	어휘	명사	
정가	어휘	명사	식물
정가	어휘	명사	음악
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	명사	
정가	어휘	품사 없음	
정가-롭다	어휘	형용사	
정가-제	어휘	명사	
정가-표	어휘	명사	
정가-하다	어휘	동사	
정가-하다	어휘	동사	
정가-하다	어휘	형용사	
정가^중개^계약	구	품사 없음	경제
정가금	어휘	명사	
정가둔	어휘	명사	지명
정가로이	어휘	부사	
정각	어휘	명사	
정각	어휘	명사	
정각	어휘	명사	수학
정각	어휘	명사	
정각	어휘	명사	불교
정각	어휘	명사	불교
정각	어휘	명사	불교
정각	어휘	명사	
정각	어휘	명사	역사
정각	어휘	명사	
정각	어휘	명사	수학
정각	어휘	명사	
정각	어휘	명사	
정각-분	어휘	명사	불교
정각-쟁이	어휘	명사	
정각-하다	어휘	동사	
정각^데릭	구	품사 없음	기계
정각^도법	구	품사 없음	지리
정각^방위^도법	구	품사 없음	지리
정각^방위^투영법	구	품사 없음	지리
정각^아치^댐	구	품사 없음	건설
정각^원추^도법	구	품사 없음	지리
정각^원추^투영법	구	품사 없음	지구
정각^원통^도법	구	품사 없음	지리
정각^원통^투영법	구	품사 없음	지리
정각구면투영법	어휘	명사	지구
정각구상투영법	어휘	명사	지구
정각뿔-대	어휘	명사	수학
정간	어휘	명사	
정간	어휘	명사	
정간	어휘	명사	건설
정간	어휘	명사	지리
정간	어휘	명사	
정간	어휘	명사	
정간	어휘	명사	역사
정간	어휘	명사	
정간	어휘	명사	
정간	어휘	품사 없음	
정간	어휘	명사	
정간-되다	어휘	동사	
정간-물	어휘	명사	매체
정간-보	어휘	명사	음악
정간-자	어휘	명사	
정간-지	어휘	명사	
정간-하다	어휘	동사	
정간-하다	어휘	동사	
정간-하다	어휘	동사	
정간-하다	어휘	형용사	
정간-하다	어휘	동사	
정간^악보	구	품사 없음	음악
정간색-서리	어휘	명사	역사
정갈	어휘	품사 없음	
정갈-스럽다	어휘	형용사	
정갈-시롭다	어휘	형용사	
정갈-하다	어휘	형용사	
정갈-히	어휘	부사	
정갈뤠-낭	어휘	명사	
정갈뤼-낭	어휘	명사	
정갈리	어휘	명사	
정갈리-낭	어휘	명사	
정갈스레	어휘	부사	
정갈피-신	어휘	명사	
정감	어휘	명사	역사
정감	어휘	명사	역사
정감	어휘	명사	
정감	어휘	명사	
정감	어휘	명사	
정감	어휘	명사	
정감	어휘	명사	
정감-록	어휘	명사	책명
정감-성	어휘	명사	심리
정감-적	어휘	관형사·명사	
정감-하다	어휘	동사	역사
정감-하다	어휘	동사	
정감-하다	어휘	동사	
정감-하다	어휘	동사	
정감-하다	어휘	동사	
정감-하다	어휘	동사	
정감^반의어	구	품사 없음	언어
정감의^구성	구	품사 없음	문학
정갑	어휘	명사	
정갑	어휘	명사	군사
정강	어휘	명사	
정강	어휘	명사	
정강	어휘	품사 없음	
정강	어휘	명사	
정강	어휘	명사	
정강	어휘	명사	역사
정강-꽝	어휘	명사	
정강-다님	어휘	명사	
정강-다리	어휘	명사	
정강-마루	어휘	명사	
정강-말	어휘	명사	
정강-머리	어휘	명사	
정강-뻬	어휘	명사	
정강-뼈	어휘	명사	의학
정강-시럽다	어휘	형용사	
정강-왕	어휘	명사	인명
정강-키	어휘	부사	
정강-하다	어휘	형용사	
정강-하다	어휘	형용사	
정강^넙다리뼈^오목	구	품사 없음	의학
정강^동맥	구	품사 없음	의학
정강^신경	구	품사 없음	의학
정강^신경^마비	구	품사 없음	의학
정강^정책	구	품사 없음	정치
정강^종아리	구	품사 없음	의학
정강^종아리^관절	구	품사 없음	의학
정강^종아리^인대	구	품사 없음	의학
정강^종아리^인대^결합	구	품사 없음	의학
정강^차기	구	품사 없음	체육
정강말을 타다	관용구	품사 없음	
정강뼈^가쪽^관절^융기	구	품사 없음	의학
정강뼈^가쪽^면	구	품사 없음	의학
정강뼈^거친면	구	품사 없음	의학
정강뼈^거친면^뼈연골증	구	품사 없음	의학
정강뼈^거친면^피부밑^주머니	구	품사 없음	의학
정강뼈^골절	구	품사 없음	의학
정강뼈^뒷면	구	품사 없음	의학
정강뼈^몸통	구	품사 없음	의학
정강뼈^뼈^사이^모서리	구	품사 없음	의학
정강뼈^아래^관절면	구	품사 없음	의학
정강뼈^안쪽^관절^융기	구	품사 없음	의학
정강뼈^안쪽^면	구	품사 없음	의학
정강뼈^앞^모서리	구	품사 없음	의학
정강뼈^앞^점액^부종	구	품사 없음	의학
정강뼈^영양^동맥	구	품사 없음	의학
정강뼈^위^관절면	구	품사 없음	의학
정강뼈^윗점	구	품사 없음	의학
정강뼈^통증	구	품사 없음	의학
정강뼈앞-열	어휘	명사	의학
정강앞-열	어휘	명사	의학
정강왕-릉	어휘	명사	역사
정강의^난	구	품사 없음	역사
정강의^변	구	품사 없음	역사
정강이	어휘	명사	
정강이-뼈	어휘	명사	의학
정강이^가리개	구	품사 없음	복식
정강이^막기	구	품사 없음	체육
정강이^받아^막기	구	품사 없음	체육
정강이가 맏아들보다 낫다	속담	품사 없음	
정강쪽^곁인대	구	품사 없음	의학
정강쪽^뼈	구	품사 없음	의학
정개	어휘	명사	
정개	어휘	명사	역사
정개	어휘	명사	가톨릭
정개	어휘	명사	역사
정개	어휘	명사	
정개	어휘	명사	
정개-고개	어휘	명사	
정개-나무	어휘	명사	
정개-좃다	어휘	동사	
정개이	어휘	명사	
정개하다	어휘	동사	
정객	어휘	명사	
정객	어휘	명사	
정객	어휘	명사	
정갱이	어휘	명사	
정갱이	어휘	명사	
정갱이세머리살	어휘	명사	의학
정갱이씨름	어휘	명사	
정갱이힘살	어휘	명사	의학
정거	어휘	명사	
정거	어휘	명사	
정거	어휘	명사	역사
정거	어휘	명사	
정거-대	어휘	명사	교통
정거-장	어휘	명사	
정거-정	어휘	명사	
정거-천	어휘	명사	불교
정거-하다	어휘	동사	
정거-하다	어휘	동사	역사
정거-하다	어휘	동사	
정거^도법	구	품사 없음	지리
정거^방위^도법	구	품사 없음	기계
정거미	어휘	명사	
정거장^구내	구	품사 없음	교통
정거장^구역표	구	품사 없음	교통
정거장^내방	구	품사 없음	교통
정거장^외방	구	품사 없음	교통
정거장^중심표	구	품사 없음	교통
정거재	어휘	명사	
정거하다	어휘	동사	
정건-삼절	어휘	명사	
정걸	어휘	명사	
정것-대	어휘	명사	
정게	어휘	명사	
정게	어휘	대명사	
정겟-고개	어휘	명사	
정겟-장	어휘	명사	
정겡이	어휘	명사	
정겨이	어휘	부사	
정격	어휘	명사	
정격	어휘	명사	문학
정격	어휘	명사	전기·전자
정격	어휘	명사	역사
정격	어휘	명사	
정격-값	어휘	명사	기계
정격-치	어휘	명사	기계
정격-하다	어휘	동사	
정격^가사	구	품사 없음	문학
정격^개도	구	품사 없음	기계
정격^계자^전류	구	품사 없음	전기·전자
정격^계자^전압	구	품사 없음	전기·전자
정격^공급^전류	구	품사 없음	전기·전자
정격^공급^전압	구	품사 없음	전기·전자
정격^과전류^강도	구	품사 없음	전기·전자
정격^교류^전압	구	품사 없음	전기·전자
정격^내압	구	품사 없음	전기·전자
정격^단락^내전류	구	품사 없음	전기·전자
정격^단시간^전류	구	품사 없음	전기·전자
정격^단일^펄스^과도^에너지	구	품사 없음	전기·전자
정격^대칭^차단^전류	구	품사 없음	전기·전자
정격^동사	구	품사 없음	언어
정격^레벨	구	품사 없음	전기·전자
정격^마력	구	품사 없음	기계
정격^맥동^전류	구	품사 없음	전기·전자
정격^모멘트	구	품사 없음	전기·전자
정격^반복^마루^전압	구	품사 없음	전기·전자
정격^배터리^용량	구	품사 없음	전기·전자
정격^밸브^용량	구	품사 없음	기계
정격^범위	구	품사 없음	기계
정격^부담	구	품사 없음	전기·전자
정격^부담	구	품사 없음	전기·전자
정격^부하	구	품사 없음	전기·전자
정격^부하^운전	구	품사 없음	전기·전자
정격^부하^임피던스	구	품사 없음	전기·전자
정격^사용^범위	구	품사 없음	정보·통신
정격^사용^상태	구	품사 없음	기계
정격^삼초^전류	구	품사 없음	전기·전자
정격^선법	구	품사 없음	음악
정격^속도	구	품사 없음	전기·전자
정격^수명	구	품사 없음	기계
정격^수필	구	품사 없음	문학
정격^스텝^전압	구	품사 없음	전기·전자
정격^시간	구	품사 없음	전기·전자
정격^시스템^편차	구	품사 없음	정보·통신
정격^시조	구	품사 없음	문학
정격^압력	구	품사 없음	공학 일반
정격^역률	구	품사 없음	전기·전자
정격^연결^용량	구	품사 없음	공업
정격^연속^직류^전류	구	품사 없음	전기·전자
정격^연속^출력^전류	구	품사 없음	전기·전자
정격^연주	구	품사 없음	음악
정격^온^전압	구	품사 없음	전기·전자
정격^온도	구	품사 없음	전기·전자
정격^용언	구	품사 없음	언어
정격^운전^전압	구	품사 없음	전기·전자
정격^유량	구	품사 없음	공학 일반
정격^이차^전류	구	품사 없음	전기·전자
정격^이차^전압	구	품사 없음	전기·전자
정격^일차^대지^전압	구	품사 없음	전기·전자
정격^일차^전류	구	품사 없음	전기·전자
정격^일차^전압	구	품사 없음	전기·전자
정격^임펄스^전압	구	품사 없음	전기·전자
정격^임피던스	구	품사 없음	전기·전자
정격^입력	구	품사 없음	전기·전자
정격^입력^전력	구	품사 없음	전기·전자
정격^작동	구	품사 없음	전기·전자
정격^작동^상태	구	품사 없음	기계
정격^작동^조건	구	품사 없음	전기·전자
정격^저항값	구	품사 없음	전기·전자
정격^전력	구	품사 없음	기계
정격^전류	구	품사 없음	전기·전자
정격^전압	구	품사 없음	전기·전자
정격^전압^범위	구	품사 없음	전기·전자
정격^전압^조정^범위	구	품사 없음	전기·전자
정격^전압비	구	품사 없음	전기·전자
정격^전원^전압	구	품사 없음	전기·전자
정격^전원^주파수	구	품사 없음	전기·전자
정격^절연^등급	구	품사 없음	전기·전자
정격^절연^레벨	구	품사 없음	전기·전자
정격^절연^전압	구	품사 없음	전기·전자
정격^정확도	구	품사 없음	전기·전자
정격^제어^전류	구	품사 없음	전기·전자
정격^제어^전압	구	품사 없음	전기·전자
정격^조건	구	품사 없음	공학 일반
정격^조정^범위	구	품사 없음	전기·전자
정격^종지	구	품사 없음	음악
정격^주파수	구	품사 없음	전기·전자
정격^주파수^범위	구	품사 없음	전기·전자
정격^직류^권선^전압	구	품사 없음	전기·전자
정격^직류^전력	구	품사 없음	전기·전자
정격^직류^전류	구	품사 없음	전기·전자
정격^직류^전압	구	품사 없음	전기·전자
정격^차단^용량	구	품사 없음	전기·전자
정격^차단^전류	구	품사 없음	전기·전자
정격^차단^전압	구	품사 없음	전기·전자
정격^최고^온도	구	품사 없음	전기·전자
정격^최대^사용^허용^온도	구	품사 없음	공업
정격^추력^도달	구	품사 없음	천문
정격^출력	구	품사 없음	전기·전자
정격^출력^겉보기^전력	구	품사 없음	전기·전자
정격^출력^단계	구	품사 없음	기계
정격^출력^용량	구	품사 없음	전기·전자
정격^출력^전력	구	품사 없음	전기·전자
정격^출력^전류	구	품사 없음	전기·전자
정격^출력^전압	구	품사 없음	전기·전자
정격^충격^내전압	구	품사 없음	전기·전자
