어휘	구성 단위	품사	전문 분야
진괘	어휘	명사	민속
진괘	어휘	명사	음악
진괘	어휘	명사	민속
진괘	어휘	명사	민속
진괴	어휘	품사 없음	
진괴-하다	어휘	형용사	
진교	어휘	품사 없음	
진교	어휘	명사	가톨릭
진교	어휘	명사	식물
진교	어휘	명사	한의
진교-하다	어휘	형용사	
진교-히	어휘	부사	
진교^병변	구	품사 없음	역사
진교^부인	구	품사 없음	인명
진교^사패	구	품사 없음	가톨릭
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	품사 없음	
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	불교
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	
진구	어휘	명사	
진구-하다	어휘	동사	
진구-하다	어휘	형용사	
진구-하다	어휘	동사	
진구-하다	어휘	동사	
진구-하다	어휘	동사	
진구래	어휘	명사	
진구렁-창	어휘	명사	
진구렁-창	어휘	명사	
진구렁-텅이	어휘	명사	
진구렁-텅이	어휘	명사	
진구렁창	어휘	명사	
진구렁텅이	어휘	명사	
진구리	어휘	명사	
진국	어휘	명사	역사
진국	어휘	명사	
진국	어휘	명사	역사
진국	어휘	명사	
진국-공	어휘	명사	민속
진국-대장군	어휘	명사	역사
진국-명산	어휘	명사	음악
진국-백	어휘	명사	민속
진국-술	어휘	명사	
진국-하다	어휘	동사	
진국은 나 먹고 훗국은 너 먹어라	속담	품사 없음	
진군	어휘	명사	역사
진군	어휘	명사	
진군	어휘	명사	
진군	어휘	명사	
진군	어휘	명사	
진군	어휘	명사	역사
진군-나팔	어휘	명사	군사
진군-식	어휘	명사	
진군-죽	어휘	명사	
진군-하다	어휘	동사	
진군-하다	어휘	동사	
진궁	어휘	명사	
진궁	어휘	명사	역사
진궁-하다	어휘	동사	
진권	어휘	명사	
진권-하다	어휘	동사	
진귀	어휘	품사 없음	
진귀	어휘	명사	동물
진귀-방	어휘	명사	민속
진귀-품	어휘	명사	
진귀-하다	어휘	형용사	
진규	어휘	명사	한의
진균	어휘	명사	생명
진균-계	어휘	명사	생명
진균-독	어휘	명사	
진균-류	어휘	명사	생명
진균-문	어휘	명사	생명
진균-병	어휘	명사	의학
진균-약	어휘	명사	약학
진균-제	어휘	명사	화학
진균-종	어휘	명사	의학
진균-증	어휘	명사	의학
진균-학	어휘	명사	생명
진균^각막염	구	품사 없음	의학
진균^감염	구	품사 없음	의학
진균^검사	구	품사 없음	생명
진균^구내염	구	품사 없음	의학
진균^독소	구	품사 없음	생명
진균^동맥류	구	품사 없음	의학
진균^마두라^발	구	품사 없음	의학
진균^바이러스	구	품사 없음	생명
진균^배양^검사	구	품사 없음	생명
진균^스테롤	구	품사 없음	생명
진균^식물	구	품사 없음	생명
진균^위염	구	품사 없음	의학
진균^응집소	구	품사 없음	생명
진균^입안염	구	품사 없음	의학
진균^작용	구	품사 없음	지구
진균^중독증	구	품사 없음	의학
진균^파지	구	품사 없음	의학
진균^포자	구	품사 없음	생명
진균^해안선	구	품사 없음	해양
진균^혈증	구	품사 없음	의학
진균성^관다발병	구	품사 없음	식물
진균성^동맥^자루	구	품사 없음	의학
진균성^위장염	구	품사 없음	의학
진균성^유산	구	품사 없음	수의
진균성^폐렴	구	품사 없음	의학
진균학-자	어휘	명사	생명
진근	어휘	명사	불교
진근-부초	어휘	명사	한의
진근-하다	어휘	형용사	
진근점^이각	구	품사 없음	천문
진금	어휘	명사	
진금	어휘	명사	
진금	어휘	명사	
진급	어휘	명사	
진급-되다	어휘	동사	
진급-률	어휘	명사	
진급-비	어휘	명사	
진급-하다	어휘	동사	
진급^시험	구	품사 없음	교육
진급^쿼터제	구	품사 없음	군사
진기	어휘	명사	
진기	어휘	명사	
진기	어휘	명사	
