어휘	구성 단위	품사	전문 분야
-ㄱ	어휘	접사	
-ㄴ	어휘	어미	
-ㄴ	어휘	어미	
-ㄴ	어휘	어미	
-ㄴ	어휘	어미	
-ㄴ	어휘	어미	
-ㄴ-	어휘	어미	
-ㄴ가	어휘	어미	
-ㄴ가	어휘	어미	
-ㄴ가	어휘	어미	
-ㄴ감	어휘	어미	
-ㄴ강	어휘	어미	
-ㄴ걸	어휘	어미	
-ㄴ걸	어휘	어미	
-ㄴ고	어휘	어미	
-ㄴ고	어휘	어미	
-ㄴ고	어휘	어미	
-ㄴ고요	어휘	어미	
-ㄴ과니	어휘	품사 없음	
-ㄴ교	어휘	어미	
-ㄴ께네	어휘	어미	
-ㄴ나	어휘	어미	
-ㄴ나	어휘	어미	
-ㄴ논디라	어휘	어미	
-ㄴ다	어휘	어미	
-ㄴ다	어휘	어미	
-ㄴ다	어휘	어미	
-ㄴ다고	어휘	어미	
-ㄴ다고	어휘	어미	
-ㄴ다고	어휘	어미	
-ㄴ다고	어휘	어미	
-ㄴ다고	어휘	어미	
-ㄴ다고	어휘	품사 없음	
-ㄴ다나	어휘	어미	
-ㄴ다네	어휘	어미	
-ㄴ다네	어휘	품사 없음	
-ㄴ다느냐	어휘	품사 없음	
-ㄴ다느니	어휘	어미	
-ㄴ다는	어휘	품사 없음	
-ㄴ다니	어휘	어미	
-ㄴ다니	어휘	품사 없음	
-ㄴ다니	어휘	품사 없음	
-ㄴ다니	어휘	어미	
-ㄴ다니	어휘	품사 없음	
-ㄴ다니까	어휘	어미	
-ㄴ다니까	어휘	품사 없음	
-ㄴ다더라	어휘	어미	
-ㄴ다마는	어휘	어미	
-ㄴ다마다	어휘	어미	
-ㄴ다만	어휘	어미	
-ㄴ다며	어휘	어미	
-ㄴ다며	어휘	품사 없음	
-ㄴ다며	어휘	품사 없음	
-ㄴ다면	어휘	어미	
-ㄴ다면	어휘	품사 없음	
-ㄴ다면서	어휘	어미	
-ㄴ다면서	어휘	품사 없음	
-ㄴ다면서	어휘	품사 없음	
-ㄴ다손	어휘	어미	
-ㄴ다오	어휘	어미	
-ㄴ다오	어휘	품사 없음	
-ㄴ다이	어휘	어미	
-ㄴ다지	어휘	어미	
-ㄴ다지	어휘	품사 없음	
-ㄴ단	어휘	품사 없음	
-ㄴ단	어휘	품사 없음	
-ㄴ단다	어휘	어미	
-ㄴ단다	어휘	품사 없음	
-ㄴ달	어휘	품사 없음	
-ㄴ담	어휘	어미	
-ㄴ답니까	어휘	어미	
-ㄴ답니까	어휘	품사 없음	
-ㄴ답니다	어휘	어미	
-ㄴ답니다	어휘	품사 없음	
-ㄴ답디까	어휘	품사 없음	
-ㄴ답디다	어휘	품사 없음	
-ㄴ답시고	어휘	어미	
-ㄴ대	어휘	어미	
-ㄴ대	어휘	품사 없음	
-ㄴ대	어휘	어미	
-ㄴ대니	어휘	어미	
-ㄴ대도	어휘	품사 없음	
-ㄴ대서	어휘	품사 없음	
-ㄴ대서야	어휘	품사 없음	
-ㄴ대야	어휘	품사 없음	
-ㄴ대요	어휘	어미	
-ㄴ대요	어휘	품사 없음	
-ㄴ댄	어휘	어미	
-ㄴ댄다	어휘	어미	
-ㄴ댔자	어휘	품사 없음	
-ㄴ댜	어휘	어미	
-ㄴ데	어휘	어미	
-ㄴ데	어휘	어미	
-ㄴ데	어휘	어미	
-ㄴ덴	어휘	어미	
-ㄴ뎁쇼	어휘	어미	
-ㄴ뎌	어휘	어미	
-ㄴ뎌이고	어휘	어미	
-ㄴ동	어휘	어미	
-ㄴ들	어휘	어미	
-ㄴ듸	어휘	어미	
-ㄴ디	어휘	어미	
-ㄴ디	어휘	어미	
-ㄴ디라	어휘	어미	
-ㄴ디면	어휘	어미	
-ㄴ바	어휘	어미	
-ㄴ바	어휘	어미	
-ㄴ쟈	어휘	어미	
-ㄴ져이고	어휘	어미	
-ㄴ졔고	어휘	어미	
-ㄴ졔이고	어휘	어미	
-ㄴ즉	어휘	어미	
-ㄴ즉슨	어휘	어미	
-ㄴ지	어휘	어미	
-ㄴ지	어휘	어미	
-ㄴ지고	어휘	어미	
-ㄴ지고	어휘	어미	
-ㄴ지라	어휘	어미	
-ㄴ지라	어휘	어미	
-ㄴ?니	어휘	어미	
-ㄴ?다	어휘	어미	
-ㄴ?	어휘	어미	
-ㄴ?	어휘	어미	
-ㄴ?	어휘	어미	
-ㄴ?	어휘	어미	
-ㄹ	어휘	어미	
-ㄹ	어휘	어미	
-ㄹ가	어휘	어미	
-ㄹ가	어휘	어미	
-ㄹ가	어휘	어미	
-ㄹ값에	어휘	어미	
-ㄹ갓	어휘	어미	
-ㄹ거나	어휘	어미	
-ㄹ걸	어휘	어미	
-ㄹ걸	어휘	어미	
-ㄹ게	어휘	어미	
-ㄹ고	어휘	어미	
-ㄹ고	어휘	어미	
-ㄹ고	어휘	어미	
-ㄹ까	어휘	어미	
-ㄹ까	어휘	어미	
-ㄹ깝쇼	어휘	어미	
-ㄹ꺼나	어휘	어미	
-ㄹ께	어휘	어미	
-ㄹ꼬	어휘	어미	
-ㄹ꼬	어휘	어미	
-ㄹ꾸	어휘	어미	
-ㄹ꾸	어휘	어미	
-ㄹ꾸마	어휘	어미	
-ㄹ낫다	어휘	어미	
-ㄹ냐	어휘	어미	
-ㄹ너고	어휘	어미	
-ㄹ너라	어휘	어미	
-ㄹ너이다	어휘	어미	
-ㄹ넌지	어휘	어미	
-ㄹ네라	어휘	어미	
-ㄹ노다	어휘	어미	
-ㄹ는지	어휘	어미	
-ㄹ는지	어휘	어미	
-ㄹ는지	어휘	어미	
-ㄹ다	어휘	어미	
-ㄹ데라구	어휘	어미	
-ㄹ데라구야	어휘	어미	
-ㄹ데라니	어휘	어미	
-ㄹ뎐	어휘	어미	
-ㄹ뎬	어휘	어미	
-ㄹ돠	어휘	어미	
-ㄹ되	어휘	어미	
-ㄹ디	어휘	어미	
-ㄹ디	어휘	어미	
-ㄹ디나	어휘	어미	
-ㄹ디니	어휘	어미	
-ㄹ디니라	어휘	어미	
-ㄹ디라도	어휘	어미	
-ㄹ디라도	어휘	어미	
-ㄹ디어니	어휘	어미	
-ㄹ디어니와	어휘	어미	
-ㄹ디어다	어휘	어미	
-ㄹ디어?	어휘	어미	
-ㄹ디언?	어휘	어미	
-ㄹ딘대?	어휘	어미	
-ㄹ딘댄	어휘	어미	
-ㄹ딘댄	어휘	어미	
-ㄹ따	어휘	어미	
-ㄹ뗸	어휘	어미	
-ㄹ띠	어휘	어미	
-ㄹ띠니	어휘	어미	
-ㄹ띠니라	어휘	어미	
-ㄹ띠라	어휘	어미	
-ㄹ띠라도	어휘	어미	
-ㄹ띠로다	어휘	어미	
-ㄹ띠면	어휘	어미	
-ㄹ띠어늘	어휘	어미	
-ㄹ띠어다	어휘	어미	
-ㄹ띠어?	어휘	어미	
-ㄹ띠언?	어휘	어미	
-ㄹ띤댄	어휘	어미	
