어휘	구성 단위	품사	전문 분야
사망구	어휘	명사	
사망자인증	어휘	명사	법률
사망지환	어휘	명사	
사망진단	어휘	명사	의학
사매	어휘	명사	
사매	어휘	명사	
사매	어휘	명사	
사매	어휘	명사	식물
사매-돌쩌귀	어휘	명사	건설
사매-자락	어휘	명사	
사매-질	어휘	명사	
사매-하다	어휘	동사	
사매구	어휘	명사	
사매귀	어휘	명사	
사매기	어휘	명사	
사매기	어휘	명사	
사매이	어휘	명사	
사매질-하다	어휘	동사	
사맥	어휘	명사	
사맥	어휘	명사	광업
사맥	어휘	명사	의학
사맥	어휘	명사	
사맥	어휘	명사	
사맷-베리	어휘	명사	
사맹	어휘	명사	
사맹	어휘	명사	역사
사맹	어휘	명사	역사
사맹	어휘	명사	인명
사맹삭^반록제	구	품사 없음	역사
사맹삭^반사	구	품사 없음	역사
사맹삭^취재	구	품사 없음	역사
사면	어휘	명사	
사면	어휘	명사	
사면	어휘	명사	농업
사면	어휘	명사	
사면	어휘	명사	
사면	어휘	명사	물리
사면	어휘	명사	수학
사면	어휘	명사	법률
사면	어휘	명사	
사면	어휘	명사	
사면	어휘	명사	
사면	어휘	명사	농업
사면-각	어휘	명사	수학
사면-경작	어휘	명사	농업
사면-공격	어휘	명사	
사면-공격	어휘	명사	
사면-권	어휘	명사	
사면-도감	어휘	명사	역사
사면-도감	어휘	명사	역사
사면-되다	어휘	동사	법률
사면-령	어휘	명사	법률
사면-목	어휘	명사	한의
사면-묘사	어휘	명사	
사면-반	어휘	명사	전기·전자
사면-법	어휘	명사	법률
사면-수적	어휘	명사	
사면-안	어휘	명사	
사면-자	어휘	명사	
사면-잠	어휘	명사	농업
사면-장	어휘	명사	
사면-장	어휘	명사	
사면-체	어휘	명사	수학
사면-초가	어휘	명사	
사면-춘풍	어휘	명사	
사면-팔방	어휘	명사	
사면-풍	어휘	명사	지구
사면-하다	어휘	동사	법률
사면-하다	어휘	동사	
사면^공법	구	품사 없음	건설
사면^내^파괴	구	품사 없음	지구
사면^녹화^식재^공법	구	품사 없음	임업
사면^동광	구	품사 없음	광업
사면^망상	구	품사 없음	심리
사면^모임지붕	구	품사 없음	건설
사면^방화선	구	품사 없음	임업
사면^배양	구	품사 없음	생명
사면^배지	구	품사 없음	약학
사면^배지^밑부분	구	품사 없음	생명
사면^보강	구	품사 없음	건설
사면^보호재	구	품사 없음	건설
사면^복공	구	품사 없음	임업
사면^부착	구	품사 없음	전기·전자
사면^붕괴	구	품사 없음	임업
사면^선단	구	품사 없음	건설
사면^선단^원	구	품사 없음	건설
사면^선단^파괴	구	품사 없음	지구
사면^안정	구	품사 없음	건설
사면^안정^해석	구	품사 없음	건설
사면^재배	구	품사 없음	농업
사면^저부^파괴	구	품사 없음	건설
사면^정지^공사	구	품사 없음	건설
사면^침식	구	품사 없음	자연 일반
사면^파괴	구	품사 없음	지구
사면^파종공	구	품사 없음	임업
사면^피복공	구	품사 없음	임업
사면^한천^배지	구	품사 없음	생명
사면^혼파공	구	품사 없음	임업
사면발-니	어휘	명사	보건 일반
사면발-니	어휘	명사	
사면발니-증	어휘	명사	의학
사면발니^감염증	구	품사 없음	의학
사면발닛-과	어휘	명사	동물
사면발이	어휘	명사	동물
사면발이-증	어휘	명사	의학
사면사격	어휘	명사	군사
사면수적-하다	어휘	동사	
사면체-설	어휘	명사	해양
사면체^기하	구	품사 없음	수학
사면체^기하학	구	품사 없음	수학
사면체^대칭	구	품사 없음	수학
사면체^배위	구	품사 없음	물리
사면체^수	구	품사 없음	수학
사면체^자리	구	품사 없음	공학 일반
사면체의^높이	구	품사 없음	수학
사면체의^중선	구	품사 없음	수학
사면체형^중간체	구	품사 없음	화학
사멸	어휘	명사	
사멸-기	어휘	명사	생명
사멸-되다	어휘	동사	
사멸-률	어휘	명사	
사멸-적	어휘	관형사·명사	
사멸-종	어휘	명사	생명
사멸-하다	어휘	동사	
사멸^계수	구	품사 없음	생명
사멸^백신	구	품사 없음	의학
사멸^온도	구	품사 없음	생명
사명	어휘	명사	민속
사명	어휘	명사	
사명	어휘	명사	민속
사명	어휘	명사	역사
사명	어휘	명사	인명
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	불교
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명	어휘	명사	
사명-감	어휘	명사	
사명-기	어휘	명사	민속
사명-기	어휘	명사	역사
사명-마	어휘	명사	
사명-천태	어휘	명사	불교
사명-하다	어휘	동사	
사명-하다	어휘	동사	
사명-하다	어휘	동사	
사명-하다	어휘	동사	
사명-화	어휘	명사	
사명^대사	구	품사 없음	인명
사명^설명서	구	품사 없음	경영
사명감^마케팅	구	품사 없음	경영
사명당	어휘	명사	인명
사명당	어휘	명사	문학
사명당(의) 사첫방 (같다)	속담	품사 없음	
사명당-실기	어휘	명사	문학
사명당-전	어휘	명사	문학
사명당^설화	구	품사 없음	문학
사명당이 월참하겠다	속담	품사 없음	
사모	어휘	명사	공예
사모	어휘	명사	의학
사모	어휘	명사	
사모	어휘	명사	역사
사모	어휘	명사	경제
사모	어휘	명사	경제
사모	어휘	명사	
사모	어휘	명사	
사모	어휘	명사	
사모	어휘	명사	기독교
사모	어휘	명사	
사모	어휘	명사	
사모	어휘	명사	
사모 바람에 거드럭거린다	속담	품사 없음	
사모 쓴 도둑놈	속담	품사 없음	
사모-간대	어휘	명사	
사모-곡	어휘	명사	문학
사모-관대	어휘	명사	
사모-관디	어휘	명사	
사모-광	어휘	명사	생명
사모-님	어휘	명사	
사모-님	어휘	명사	
사모-님	어휘	명사	
사모-단령	어휘	명사	
사모-발행	어휘	명사	경제
사모-뿔	어휘	명사	
사모-쁠	어휘	명사	
사모-실	어휘	명사	
사모-싸개	어휘	명사	
사모-작	어휘	명사	농업
사모-잡이	어휘	명사	예체능 일반
사모-잡이	어휘	명사	음악
사모-장	어휘	명사	
사모-장	어휘	명사	역사
사모-정	어휘	명사	
사모-제	어휘	명사	
사모-증	어휘	명사	의학
사모-지붕	어휘	명사	건설
사모-턱	어휘	명사	건설
사모-판	어휘	명사	
사모-패	어휘	명사	
사모-하다	어휘	동사	
사모-하다	어휘	동사	
사모-하다	어휘	동사	
사모-형	어휘	명사	
사모-형	어휘	명사	
사모^사채	구	품사 없음	경제
사모^증권	구	품사 없음	경제
사모^증권^투자^회사	구	품사 없음	경제
사모^채권	구	품사 없음	경제
사모^투자^펀드	구	품사 없음	경제
사모^투자^회사	구	품사 없음	경제
사모^펀드	구	품사 없음	경제
사모^품대	구	품사 없음	공예
사모디^어	구	품사 없음	언어
사모디^족	구	품사 없음	고유명 일반
사모래	어휘	명사	건설
사모레기	어휘	명사	
사모리	어휘	명사	건설
사모리	어휘	명사	인명
사모리하다	어휘	동사	건설
사모바르	어휘	명사	
사모불망	어휘	명사	
사모불망-하다	어휘	동사	
사모새	어휘	명사	
사모스 섬	구	품사 없음	지명
사모스-파	어휘	명사	미술
사모스^도자기	구	품사 없음	공예
사모스^위성	구	품사 없음	군사
사모싸기-경대	어휘	명사	
사모아	어휘	명사	지명
사모아^독립국	구	품사 없음	지명
사모아^어	구	품사 없음	언어
사모아^제도	구	품사 없음	지명
사모안^드롭	구	품사 없음	체육
사모안^스파이크	구	품사 없음	체육
사모에 갓끈[영자]	속담	품사 없음	
사모예드	어휘	명사	동물
사모예드^어	구	품사 없음	언어
사모예드^어파	구	품사 없음	언어
사모예드^족	구	품사 없음	고유명 일반
사모치다	어휘	동사	
사모턱-이음	어휘	명사	건설
사모턱^열장이음	구	품사 없음	건설
사모턱^주먹장이음	구	품사 없음	건설
사목	어휘	명사	민속
사목	어휘	명사	역사
사목	어휘	명사	기독교
사목	어휘	명사	역사
사목	어휘	명사	
사목	어휘	명사	
사목-권	어휘	명사	가톨릭
사목-자	어휘	명사	기독교
사목-직	어휘	명사	가톨릭
사목-책	어휘	명사	역사
사목-하다	어휘	동사	기독교
사목-하다	어휘	동사	
사목-회	어휘	명사	기독교
사목^신학	구	품사 없음	가톨릭
사목^위원회	구	품사 없음	가톨릭
사목^협의회	구	품사 없음	가톨릭
사목도	어휘	명사	
사목지신	어휘	명사	
사몰	어휘	명사	
사몰-하다	어휘	동사	
사못	어휘	부사	
사못	어휘	부사	
사못	어휘	부사	
사못	어휘	부사	
사못-집	어휘	명사	
사몽비몽	어휘	명사	
사몽비몽-간	어휘	명사	
사묘	어휘	명사	
사묘-제	어휘	명사	역사
