어휘	구성 단위	품사	전문 분야
납미	어휘	명사	
납미-하다	어휘	동사	
납밀	어휘	명사	
납반	어휘	명사	
납배	어휘	명사	공예
납배	어휘	명사	
납배	어휘	명사	
납배	어휘	명사	
납배-하다	어휘	동사	
납배-하다	어휘	동사	
납백	어휘	명사	
납본	어휘	명사	
납본	어휘	명사	
납본-되다	어휘	동사	
납본-되다	어휘	동사	
납본-율	어휘	명사	행정
납본-하다	어휘	동사	
납본-하다	어휘	동사	
납본^대행	구	품사 없음	행정
납본^도서관	구	품사 없음	행정
납본^제도	구	품사 없음	법률
납봉	어휘	명사	
납봉	어휘	명사	
납봉	어휘	명사	
납봉-하다	어휘	동사	
납봉-하다	어휘	동사	
납부	어휘	명사	
납부 기한	구	품사 없음	
납부 칩	구	품사 없음	
납부-금	어휘	명사	
납부-되다	어휘	동사	
납부-량	어휘	명사	
납부-료	어휘	명사	
납부-미	어휘	명사	
납부-분	어휘	명사	
납부-서	어휘	명사	
납부-순	어휘	명사	
납부-액	어휘	명사	
납부-율	어휘	명사	
납부-인	어휘	명사	
납부-일	어휘	명사	
납부-자	어휘	명사	
납부-증	어휘	명사	
납부-하다	어휘	동사	
납부^고지	구	품사 없음	행정
납부^불성실^가산세	구	품사 없음	행정
납부^불이행^가산세	구	품사 없음	법률
납부^세액	구	품사 없음	행정
납부^세액^환급^세액의^재계산	구	품사 없음	행정
납부^예외	구	품사 없음	행정
납부^예외자	구	품사 없음	행정
납부^증명서	구	품사 없음	행정
납부^최고	구	품사 없음	행정
납부^최고서	구	품사 없음	행정
납부^통지	구	품사 없음	행정
납부곡	어휘	명사	
납부금^제도	구	품사 없음	법률
납부필-증	어휘	명사	행정
납북	어휘	명사	
납북-되다	어휘	동사	
납북-자	어휘	명사	
납북-하다	어휘	동사	
납북^문인	구	품사 없음	문학
납북^작가	구	품사 없음	문학
납분	어휘	명사	식물
납빈	어휘	명사	역사
납빈-의	어휘	명사	역사
납빙	어휘	명사	민속
납빙-하다	어휘	동사	민속
납사	어휘	명사	
납사이	어휘	명사	
납삭-납삭	어휘	부사	
납삭-납삭	어휘	부사	
납삭-하다	어휘	형용사	
납살	어휘	명사	
납살	어휘	명사	
납살	어휘	명사	지명
납살-하다	어휘	동사	
납상	어휘	명사	
납상-질	어휘	명사	
납상-하다	어휘	동사	
납상-허게	어휘	부사	
납상질-하다	어휘	동사	
납새미	어휘	명사	
납새미-눈	어휘	명사	
납새미-조림	어휘	명사	
납새미-지짐	어휘	명사	
납새미-헤	어휘	명사	
납서댓-과	어휘	명사	동물
납석	어휘	명사	광업
납석^벽돌	구	품사 없음	건설
납석^삼존불^비상	구	품사 없음	불교
납선	어휘	명사	동물
납선	어휘	명사	의학
납설	어휘	명사	
납설-수	어휘	명사	한의
납세	어휘	명사	
납세 기한	구	품사 없음	
납세-금	어휘	명사	
납세-액	어휘	명사	행정
납세-자	어휘	명사	
납세-자	어휘	명사	행정
