어휘	구성 단위	품사	전문 분야
운봉	어휘	명사	
운봉-굿	어휘	명사	민속
운봉-보	어휘	명사	복식
운봉-하다	어휘	동사	
운봉하다	어휘	동사	
운부	어휘	명사	
운부	어휘	명사	
운부	어휘	명사	언어
운부천부	어휘	명사	
운비	어휘	명사	
운비	어휘	명사	
운빈	어휘	명사	
운빈-홍안	어휘	명사	
운빈-화안	어휘	명사	
운빈-화용	어휘	명사	
운빙	어휘	명사	천문
운사	어휘	명사	
운사	어휘	명사	
운사	어휘	명사	
운산	어휘	명사	
운산	어휘	명사	지명
운산	어휘	명사	
운산	어휘	명사	
운산	어휘	명사	수학
운산-군	어휘	명사	지명
운산-무소	어휘	명사	
운산-법	어휘	명사	수학
운산-오이풀	어휘	명사	식물
운산-조몰	어휘	명사	
운산-하다	어휘	동사	
운산-하다	어휘	동사	
운산-하다	어휘	동사	수학
운산^금산	구	품사 없음	지명
운산놀이	어휘	명사	수학
운산무소-하다	어휘	동사	
운산조몰-하다	어휘	동사	
운삽	어휘	명사	
운상	어휘	명사	
운상	어휘	명사	
운상	어휘	명사	
운상	어휘	명사	
운상-기품	어휘	명사	
운상-꾼	어휘	명사	
운상-하다	어휘	동사	
운상-하다	어휘	동사	
운상-하다	어휘	동사	
운상-하다	어휘	동사	
운상^비행	구	품사 없음	기계
운상^시계^비행	구	품사 없음	교통
운색	어휘	명사	
운서	어휘	명사	
운서	어휘	명사	책명
운서-하다	어휘	동사	
운석	어휘	명사	광업
운석	어휘	명사	인명
운석	어휘	명사	광업
운석-계	어휘	명사	역사
운석-공	어휘	명사	지리
운석-우	어휘	명사	천문
운석^구덩이	구	품사 없음	지리
운석^이론	구	품사 없음	천문
운선	어휘	명사	지리
운선	어휘	명사	
운선	어휘	명사	
운선-곡	어휘	명사	음악
운선-법	어휘	명사	미술
운선-하다	어휘	동사	
운선식^지형도	구	품사 없음	지리
운성	어휘	명사	천문
운성	어휘	명사	
운세	어휘	명사	
운세트	어휘	명사	인명
운소	어휘	명사	
운소	어휘	명사	
운소	어휘	명사	언어
운소	어휘	명사	음악
운속	어휘	명사	지구
운속-계	어휘	명사	지구
운손	어휘	명사	
운손	어휘	명사	
운송	어휘	명사	
운송-대	어휘	명사	
운송-되다	어휘	동사	
운송-력	어휘	명사	
운송-료	어휘	명사	
운송-률	어휘	명사	
운송-망	어휘	명사	
운송-부	어휘	명사	
운송-부	어휘	명사	
운송-비	어휘	명사	
운송-상	어휘	명사	
운송-선	어휘	명사	
운송-세	어휘	명사	법률
운송-업	어휘	명사	
운송-업체	어휘	명사	
운송-인	어휘	명사	
운송-인	어휘	명사	
운송-임	어휘	명사	
운송-장	어휘	명사	
운송-장	어휘	명사	
운송-장	어휘	명사	
운송-점	어휘	명사	
운송-주	어휘	명사	경제
운송-직	어휘	명사	
운송-책	어휘	명사	
운송-품	어휘	명사	
운송-하다	어휘	동사	
운송^계약	구	품사 없음	법률
운송^공학	구	품사 없음	교통
운송^관리	구	품사 없음	경제
운송^관리비	구	품사 없음	경제
운송^기사	구	품사 없음	농업
운송^능력	구	품사 없음	경제
운송^면책^조항	구	품사 없음	경제
운송^명세	구	품사 없음	서비스업
운송^모드	구	품사 없음	서비스업
운송^보험	구	품사 없음	경제
운송^보험^증권	구	품사 없음	서비스업
운송^수탁자	구	품사 없음	경제
운송^신청	구	품사 없음	경제
운송^약관	구	품사 없음	법률
운송^용구	구	품사 없음	경제
운송^위탁^계약	구	품사 없음	경제
운송^위험	구	품사 없음	경제
운송^의무	구	품사 없음	서비스업
운송^일정^계획	구	품사 없음	경제
운송^장비	구	품사 없음	교통
운송^정지권	구	품사 없음	경제
운송^제한자	구	품사 없음	기계
운송^주선	구	품사 없음	서비스업
운송^주선^계약	구	품사 없음	서비스업
운송^주선업	구	품사 없음	서비스업
운송^주선업자	구	품사 없음	서비스업
운송^주선업자^수수료	구	품사 없음	경제
운송^주선인	구	품사 없음	경제
운송^주선인^발행^선화^증권	구	품사 없음	경제
