더디다	pv
더럽다	pv
덧없다	pv
독나다	pv
독하다	pv
두렵다	pv
둔하다	pv
뒤늦다	pv
드럽다	pv
드릅다	pv
드세다	pv
따지다	pv
딸리다	pv
때리다	pv
떠나다	pv
떠안다	pv
떨리다	pv
떼먹다	pv
떼쓰다	pv
떼이다	pv
뚱하다	pv
맛가다	pv
맛없다	pv
망치다	pv
망하다	pv
맞먹다	pv
맥없다	pv
맹하다	pv
멋적다	pv
멋쩍다	pv
멱따다	pv
멸하다	pv
모나다	pv
모지다	pv
모질다	pv
목매다	pv
못나다	pv
못되다	pv
못살다	pv
못잖다	pv
무르다	pv
무섭다	pv
묻히다	pv
미웁다	pv
밀리다	pv
바쁘다	pv
박하다	pv
발리다	pv
버겁다	pv
범하다	pv
병들다	pv
볼메다	pv
분하다	pv
비꼬다	pv
비뚤다	pv
비웃다	pv
빨리다	pv
빼먹다	pv
빼물다	pv
빼앗다	pv
뺀하다	pv
뺏기다	pv
뻐기다	pv
뻗대다	pv
삐뚤다	pv
삐치다	pv
사납다	pv
살차다	pv
삿되다	pv
상하다	pv
서럽다	pv
서툴다	pv
섭하다	pv
성나다	pv
속되다	pv
슬프다	pv
시덥다	pv
시들다	pv
실없다	pv
심하다	pv
싸납다	pv
싸대다	pv
싸우다	pv
아깝다	pv
아쉽다	pv
아프다	pv
악쓰다	pv
악하다	pv
안사다	pv
안싫다	pv
애꿎다	pv
애끊다	pv
애끓다	pv
애달다	pv
애닯다	pv
애닳다	pv
애먹다	pv
애쓰다	pv
애타다	pv
야위다	pv
얄궂다	pv
얄밉다	pv
얕보다	pv
얕잡다	pv
어기다	pv
어렵다	pv
어줍다	pv
언짢다	pv
언찮다	pv
엄하다	pv
엉까다	pv
엎치다	pv
역겹다	pv
역하다	pv
열받다	pv
열없다	pv
열적다	pv
엿보다	pv
옥죄다	pv
옭매다	pv
외롭다	pv
욕먹다	pv
욕하다	pv
우습다	pv
울리다	pv
으깨다	pv
잡되다	pv
잡치다	pv
제끼다	pv
좆같다	pv
좆나다	pv
죄많다	pv
죄있다	pv
죄짓다	pv
지겹다	pv
지치다	pv
질리다	pv
짐같다	pv
짓궂다	pv
짓밟다	pv
짓찢다	pv
짜치다	pv
짠하다	pv
찌들다	pv
찍히다	pv
찡하다	pv
처내다	pv
처넣다	pv
처먹다	pv
처박다	pv
처지다	pv
철없다	pv
쳐내다	pv
쳐먹다	pv
추하다	pv
축내다	pv
켕기다	pv
퀭하다	pv
탐하다	pv
탓하다	pv
털리다	pv
판치다	pv
패하다	pv
편찮다	pv
하찮다	pv
한없다	pv
해롭다	pv
해치다	pv
허하다	pv
헐뜯다	pv
험하다	pv
헛되다	pv
헛하다	pv
헤매다	pv
헤식다	pv
헤치다	pv
헤프다	pv
혹하다	pv
혼나다	pv
혼내다	pv
화나다	pv
화내다	pv
후리다	pv
훔치다	pv
휑하다	pv
흉보다	pv
흉하다	pv
흠잡다	pv
힘겹다	pv
힘들다	pv
힘없다	pv
겁주다	pv
겉늙다	pv
고깝다	pv
골나다	pv
골내다	pv
곪기다	pv
까대다	pv
까이다	pv
깝치다	pv
꼬우다	pv
꼴좋다	pv
담쌓다	pv
뒈지다	pv
등지다	pv
디럽다	pv
막되다	pv
막살다	pv
말씹다	pv
멋없다	pv
배곯다	pv
벌서다	pv
병나다	pv
빚내다	pv
뻥까다	pv
뻥치다	pv
뿌시다	pv
뿔나다	pv
뿔내다	pv
삐지다	pv
새되다	pv
샘나다	pv
샘내다	pv
설치다	pv
성내다	pv
