품사	단어	
NC	만유인력	
NC	말없음표	
NC	멘스	
NC	모점	
NC	목뼈	
NC	목적어	
NC	목줄	
NC	무리수	
NC	문법학	
NC	문어체	
NC	문장어	
NC	물음표	
NC	미각	
NC	미적분	
NC	미적분학	
NC	민족어	
NC	반경	
NC	반비례	
NC	반사파	
NC	반의어	
NC	발광체	
NC	방광	
NC	방사광	
NC	방판	
NC	배화교도	
NC	백혈구	
NC	범어	
NC	법의	
NC	변모음	
NC	변비	
NC	병원체	
NC	보상법	
NC	보조선	
NC	복강경	
NC	복모음	
NC	복소수	
NC	복합어	
NC	복호	
NC	봉합	
NC	부갑상선	
NC	부등식	
NC	부등호	
NC	부축	
NC	부호	
NC	분만실	
NC	분모	
NC	분법	
NC	분비선	
NC	분자설	
NC	비경	
NC	비례식	
NC	비유법	
NC	빈맥	
NC	빌리루빈	
NC	빵점	
NC	빼기	
NC	뺄셈	
NC	사각근	
NC	사변	
NC	사투리	
NC	산문	
NC	산술급수	
NC	산화	
NC	삼두박근	
NC	삼인칭	
NC	삼차원	
NC	상관도	
NC	상징어	
NC	서술어	
NC	서역	
NC	선병질	
NC	섭씨	
NC	성형술	
NC	세모꼴	
NC	세제곱근	
NC	세포진	
NC	소립자	
NC	소색	
NC	소수점	
NC	소유격	
NC	소인수	
NC	쇄골	
NC	수막	
NC	수압	
NC	수액	
NC	수용기	
NC	수준면	
NC	수직선	
NC	수초	
NC	수평면	
NC	숙어	
NC	숨길	
NC	숨통	
NC	숫자풀이	
NC	승모근	
NC	시신경	
NC	시옷	
NC	식료	
NC	식물인간	
NC	신경과	
NC	신경통	
NC	신나	
NC	신입자	
NC	실핏줄	
NC	심문	
NC	심박동	
NC	심전도	
NC	십이지장	
NC	아래턱	
NC	아성	
NC	안근	
NC	암세포	
NC	액와	
NC	액체	
NC	약분	
NC	약어	
NC	양성자	
NC	양전자	
NC	어순	
NC	엉덩이뼈	
NC	에프엠	
NC	역광	
NC	역적	
NC	역형	
NC	연막	
NC	연산자	
NC	연제	
NC	열전도	
NC	열효율	
NC	예배	
NC	예사소리	
NC	온찜질	
NC	완전수	
NC	외래어	
NC	외음부	
NC	외항	
NC	요도	
NC	용언	
NC	우심실	
NC	운동학	
NC	움라우트	
NC	원시안	
NC	원심력	
NC	원자핵	
NC	원적외선	
NC	위경	
NC	위장관	
NC	위절제술	
NC	유리상	
NC	유의어	
NC	음력	
NC	음소	
NC	음역	
NC	음훈	
NC	의문문	
NC	의성어	
NC	이골	
NC	이두박근	
NC	이면각	
NC	이유기	
NC	이응	
NC	이조	
NC	인공호흡	
NC	인기투표	
NC	인내천	
NC	인동무늬	
NC	인용문	
NC	인용어	
NC	인칭	
NC	인터페론	
NC	일어	
NC	일인칭	
NC	일차원	
NC	임계점	
NC	임파	
NC	임파선	
NC	입말	
NC	입방체	
NC	잇몸	
NC	자기력	
NC	자기장	
NC	자동사	
NC	자매어	
NC	자연신	
NC	장골	
NC	장방형	
NC	적분학	
NC	적체	
NC	전개도	
NC	전기력	
NC	전령	
NC	전리	
NC	전립선	
NC	전매	
NC	전속	
NC	전열	
NC	전자장	
NC	전하	
NC	점도	
NC	점원	
NC	접골	
NC	접두사	
NC	접두어	
NC	접미사	
NC	접합부	
NC	정각	
NC	정각도	
NC	정강이뼈	
NC	정맥	
NC	정비례	
NC	정사각형	
NC	정삼각형	
NC	정색	
NC	정신과	
NC	정치법	
NC	정형외과	
NC	제곱근	
NC	제곱수	
NC	조응	
NC	존경어	
NC	존대법	
NC	존대어	
NC	존댓말	
NC	존비법	
NC	존칭어	
NC	종교심	
NC	종축	
NC	좌심실	
NC	좌표계	
NC	주기율표	
NC	주사선	
NC	준위	
NC	중성자	
NC	중수골	
NC	중위수	
NC	중음	
NC	증식로	
NC	지리업	
NC	지방간	
NC	직사각형	
NC	직업어	
NC	직육면체	
NC	진동각	
NC	진행상	
NC	질경	
NC	질량	
NC	짝수	
NC	차용어	
NC	채혈	
NC	척력	
NC	철자법	
NC	초단파	
NC	초전도체	
NC	추간판	
NC	추대	
NC	축색	
NC	측색	
NC	측지선	
NC	치관	
NC	치성	
NC	치수	
NC	치조골	
NC	친족어	
NC	침샘	
NC	칸델라	
NC	코란	
NC	콤마	
NC	큰골	
NC	타동사	
NC	타원	
NC	탁음	
NC	탈황	
NC	탕욕	
NC	태반	
NC	태세	
NC	태양열	
NC	탯줄	
NC	텐서	
NC	토박이말	
NC	토착어	
NC	토폴로지	
NC	통분	
NC	통음	
NC	투석	
NC	파열음	
NC	판막	
NC	편도선	
NC	편미분	
NC	평방근	
NC	평서문	
NC	평신도	
NC	폐간	
NC	폐경기	
NC	폐동맥	
NC	폐위	
NC	폐포	
NC	폐활량	
NC	포교당	
NC	포의	
NC	표면적	
NC	표음주의	
NC	표정근	
NC	표준말	
NC	표준어	
NC	표차	
NC	프레온	
NC	피검사	
NC	피임	
NC	핏물	
NC	하대정맥	
NC	하복부	
NC	한국말	
NC	한말	
NC	항문	
NC	항진	
NC	해면체	
NC	해성	
NC	해열	
NC	향찰	
NC	허파	
NC	허혈	
NC	험산	
NC	현대어	
NC	혈소판	
NC	혈전	
NC	형성자	
NC	홀소리	
NC	홀수	
NC	화학식	
NC	활량	
NC	활성도	
NC	황체	
NC	황체기	
NC	회교국	
NC	회교도	
NC	후산	
NC	후실	
NC	흡수도	
NC	은수저	
NC	리얼오디오	
NC	가상공간	
NC	온라인	
NC	코팅	
NC	가정교육	
NC	하위문화	
NC	저널리즘	
NC	금주법	
NC	방정식	
NC	진법	
NC	진수	
NC	더하기	
NC	정오차	
NC	실투	
NC	레드카드	
NC	독일어	
NC	영어	
NC	한국어	
NC	금성	
NC	성운	
NC	내시경	
NC	뇌파	
NC	뇌혈관	
NC	뉴런	
NC	부정맥	
NC	적혈구	
NC	절제술	
NC	점막	
NC	췌장	
NC	혈압	
NC	정관	
NC	요로	
NC	혈장	
NC	난소	
NC	방사선량	
NC	스칼라	
NC	아날로그	
NC	열량	
NC	원운동	
NC	자외선	
NC	적외선	
NC	전자파	
NC	지상파	
NC	초음파	
NC	초전도	
NC	핵에너지	
NC	발효	
NC	타감작용	
NC	산화철	
NC	열에너지	
NC	청정에너지	
NC	관성	
NC	그리스도교	
NC	회교	
NC	개신교	
NC	성공회	
NC	카톨릭	
NC	사냥개자리	
NC	황소자리	
NC	천칭자리	
NC	목동자리	
NC	머리털자리	
NC	작은개자리	
NC	작은곰자리	
NC	한글	
NC	한자	
NC	통일교	
NC	크레모아	
NC	공리	
NC	뉴클리어	
NC	동학	
NC	블랙홀	
NC	생명수	
NC	불기	
NC	분단국가	
NC	가족계획	
NC	쉬프트	
NC	특검	
NC	공자	
NC	예수	
NC	장자	
NC	다신교	
NC	대종교	
NC	도교	
NC	마호메트교	
NC	브라만교	
NC	유대교	
NC	유일신교	
NC	유태교	
NC	인도교	
NC	일신교	
NC	증산교	
NC	천도교	
NC	천주교	
NC	불교	
NC	이슬람교	
NC	힌두교	
NC	기독교	
NC	침례교회	
NC	간경변증	
NC	간염	
NC	감염증	
NC	갑상선암	
NC	거식증	
NC	건망증	
NC	경화증	
NC	골다공증	
NC	공포증	
NC	공해병	
NC	과대망상증	
NC	관절염	
NC	구강암	
NC	구강외과	
NC	궤양	
NC	근육통	
NC	기관지염	
NC	난소암	
NC	노이로제	
NC	뇌경색	
NC	뇌성마비	
NC	뇌염	
NC	뇌일혈	
NC	뇌진탕	
NC	늑막염	
NC	단백뇨	
NC	대장염	
NC	대하증	
NC	도시병	
NC	디프테리아	
NC	류머티즘	
NC	만성병	
NC	맹장염	
NC	무력증	
NC	무좀	
NC	문둥병	
NC	문명병	
NC	방광암	
NC	방광염	
NC	방사선과	
NC	배뇨통	
NC	백내장	
NC	백일해	
NC	벽감	
NC	병리학	
NC	보균자	
NC	부인병	
NC	분열증	
NC	불면증	
NC	불임증	
NC	비뇨기과	
NC	비대증	
NC	비만증	
NC	비염	
NC	사상균증	
NC	색시	
NC	서맥	
NC	설안염	
NC	소아과	
NC	소아마비	
NC	소아병	
NC	수막염	
NC	수혈	
NC	식도염	
NC	신경외과	
NC	신우신염	
NC	신장염	
NC	실어증	
NC	심기증	
NC	안질	
NC	알츠하이머병	
NC	에이즈	
NC	영양실조	
NC	오줌소태	
NC	완선	
NC	요도염	
NC	요통	
NC	위궤양	
NC	유방염	
NC	의원병	
NC	이질	
NC	이하선염	
NC	인두염	
NC	일사병	
NC	임병	
NC	자궁암	
NC	장질부사	
NC	장티푸스	
NC	저혈압	
NC	적출술	
NC	전립선암	
NC	전립선염	
NC	전염병학	
NC	정신병	
NC	정신병자	
NC	조루증	
NC	조영제	
NC	좌창	
NC	직장암	
NC	진단서	
NC	질염	
NC	창종	
NC	천연두	
NC	축농증	
NC	치루	
NC	치통	
NC	탈구	
NC	파라티푸스	
NC	편도선염	
NC	편두통	
NC	편마비	
NC	편집증	
NC	폐결핵	
NC	폐렴	
NC	피부과	
NC	피부암	
NC	피해망상증	
NC	혈우병	
NC	협심증	
NC	홍역	
NC	황색종	
NC	후두염	
NC	흑사병	
NC	고지혈증	
NC	고혈압	
NC	골절	
NC	나병	
NC	뇌졸중	
NC	당뇨병	
NC	대장암	
