품사	단어
NC	수소 충전소
NC	수소충전소
NC	수영장
NC	수족관
NC	숙소
NC	순상 화산
NC	순상화산
NC	순환 고속 도로
NC	순환 고속도로
NC	순환 도로
NC	순환고속도로
NC	순환도로
NC	숲
NC	슈퍼 센터
NC	슈퍼 화산
NC	슈퍼센터
NC	슈퍼화산
NC	스노 브리지
NC	스노브 리지
NC	스노브리지
NC	스노우 브리지
NC	스노우브리지
NC	스쿨
NC	스퀘어
NC	스키장
NC	스타디움
NC	스테이션
NC	스테이지
NC	스테이트
NC	스튜디오
NC	스트리트
NC	스트릿
NC	슬럼
NC	습곡 산맥
NC	습곡산맥
NC	시계탑
NC	시골
NC	시군
NC	시내
NC	시네마 테크
NC	시네마테크
NC	시립 미술관
NC	시립미술관
NC	시민 광장
NC	시민광장
NC	시성
NC	시장
NC	시청
NC	시티
NC	식당
NC	신도시
NC	신사옥
NC	신혼집
NC	실내
NC	실내 경기장
NC	실내 수영장
NC	실내 체육관
NC	실내경기장
NC	실내수영장
NC	실내체육관
NC	실외
NC	실주소
NC	실험실
NC	쓰레기장
NC	씨어터
NC	아래쪽
NC	아지트
NC	아침 시장
NC	아침시장
NC	아쿠아 리움
NC	아쿠아리움
NC	아트 센터
NC	아트센터
NC	아트홀
NC	아티스트 갤러리
NC	아티스트갤러리
NC	아파트
NC	안경원
NC	안방 극장
NC	안방극장
NC	암벽장
NC	앞부분
NC	앞자리
NC	애견 호텔
NC	애견샵
NC	애견호텔
NC	야구장
NC	야시장
NC	야영장
NC	야외
NC	야외 극장
NC	야외극장
NC	양로원
NC	양식장
NC	양조장
NC	양지
NC	언덕
NC	얼음 화산
NC	얼음화산
NC	여울
NC	여행지
NC	역내
NC	역사 박물관
NC	역사박물관
NC	연구 센터
NC	연구센터
NC	연구실
NC	연합 공국
NC	연합공국
NC	열대 지방
NC	열대우림
NC	열대지방
NC	영어 마을
NC	영어권
NC	영어마을
NC	영웅 도시
NC	영웅도시
NC	영화관
NC	옆집
NC	예식장
NC	예정지
NC	오락실
NC	오름
NC	오아시스
NC	오페라 극장
NC	오페라극장
NC	오피스텔
NC	옥상
NC	옥외
NC	옥포
NC	온대 지방
NC	온대지방
NC	온천
NC	온천 마을
NC	온천마을
NC	왕궁
NC	외곽
NC	욕실
NC	우리집
NC	우물
NC	우성 아파트
NC	우성아 파트
NC	우성아파트
NC	우주 공간
NC	우주 공항
NC	우주공간
NC	우체통
NC	운동 공원
NC	운동공원
NC	운동장
NC	운전석
NC	원룸
NC	원자력 발전소
NC	원자력발전소
NC	원자로
NC	원전
NC	원형 경기장
NC	원형 극장
NC	원형경기장
NC	원형극장
NC	웨딩 스튜디오
NC	웨딩스튜디오
NC	웨딩홀
NC	웨스트
NC	위성 도시
NC	위성도시
NC	위층
NC	유령 도시
NC	유령도시
NC	유료 도로
NC	유료도로
NC	유비쿼터스 도시
NC	유비쿼터스도시
NC	유스 타운
NC	유스타운
NC	유적박물관
NC	유적지
NC	유통 센터
NC	유통센터
NC	육지
NC	은신처
NC	은하
NC	은하계
NC	응급실
NC	의료원
NC	이국
NC	이발소
NC	이적 시장
NC	이적시장
NC	인공 암벽장
NC	인공섬
NC	인공암벽장
NC	임대 아파트
NC	임대아파트
NC	입구
NC	입학처
NC	자매 결연 도시
NC	자매 도시
NC	자매결연 도시
NC	자매결연도시
NC	자매도시
NC	자연사박물관
NC	자연요양소
NC	자유 공간
NC	자유 광장
NC	자유 제국 도시
NC	자유 제국도시
NC	자유공간
NC	자유광장
NC	자유제국도시
NC	자치도
NC	자택
NC	작업장
NC	작은 도시
NC	작은도시
NC	장례 식장
NC	장례식장
NC	장터
NC	재래 시장
NC	재래시장
NC	저수지
NC	저장소
NC	저택
NC	적진
NC	전문점
NC	전산실
NC	전세계
NC	전시실
NC	전용 경기장
NC	전용경기장
NC	전원 도시
NC	전원도시
NC	전장
NC	전통 시장
NC	전통시장
NC	점포
NC	정글
NC	정류장
NC	정자
NC	조력 발전소
NC	조력발전소
NC	조선소
NC	종점
NC	종착역
NC	종합 경기장
NC	종합경기장
NC	좌판
NC	주거 지역
NC	주거지역
NC	주민 센터
NC	주민센터
NC	주방
NC	주변
NC	주유소
NC	주택가
NC	중남부 지방
NC	중남부지방
NC	중동부 지방
NC	중동부지방
NC	중부 지방
NC	중부지방
NC	중북부 지방
NC	중북부지방
NC	중서부 지방
NC	중서부지방
NC	중소 도시
NC	중소도시
NC	중심 공항
NC	중심 업무 지구
NC	중심가
NC	중심공항
NC	중심업무지구
NC	지구
NC	지구상
NC	지뢰밭
NC	지름길
NC	지역구
NC	지하
NC	지하 공간
NC	지하 상가
NC	지하 차도
NC	지하공간
NC	지하도
NC	지하상가
NC	지하실
NC	지하차도
NC	지하철역
NC	직매장
NC	직장
NC	진리부
